"","Johnston Terrace","Chestnut","Barton Creek","Southeast","RMMA","West Congress","Dawson","Mckinney","East Cesar Chavez","Holly","Coronado Hills","West Gate","East Congress","Galindo","Hancock","MLK","North Shoal Creek","Central East Austin","North University","Highland","Crestview","Rosewood","Upper Boggy Creek","Govalle","Zilker","Old West Austin","University Hills","North Loop","Pecan Springs Springdale","Wooten","Sweet Briar","Windsor Hills","Windsor Road","Rosedale","Hyde Park","Bouldin","Downtown","Heritage Hills","North Lamar","South River City","South Manchaca","South Lamar","Brentwood","MLK 183","Allandale","Barton Hills","St. Johns","Georgian Acres","Parker Lane","Wells Branch","Montopolis","Garrison Park","East Oak Hill","Riverside","West Oak Hill","Pleasant Valley","West University","Windsor Park","Franklin Park","North Austin","date"
"1",0,0,0,0,0,1,4,0,0,3,0,0,0,3,3,0,0,0,0,0,0,5,1,0,8,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,3,0,0,6,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1:76
"2",0,0,0,0,0,1,4,0,0,3,0,0,0,3,3,0,0,0,0,0,0,5,1,0,9,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,3,0,0,6,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1:76
"3",0,0,0,0,0,1,4,0,0,3,0,0,0,3,3,0,0,0,0,0,0,5,2,0,12,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,4,0,0,6,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1:76
"4",0,0,0,0,0,1,4,0,0,3,0,0,0,5,3,0,0,0,0,0,0,5,4,1,15,9,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,7,4,0,0,6,0,0,2,0,0,0,0,0,0,1,0,3,0,0,1:76
"5",0,0,0,0,0,2,6,0,0,6,0,0,1,5,6,0,0,0,0,1,0,8,5,1,15,9,1,2,0,1,0,0,0,2,3,0,2,0,0,0,3,8,5,0,0,13,0,0,3,0,0,0,0,0,0,1,0,5,0,0,1:76
"6",0,0,0,0,0,3,7,0,0,7,0,0,1,7,6,0,0,0,0,2,0,11,5,1,18,10,1,2,0,1,0,1,0,2,4,0,2,0,0,0,3,10,7,0,0,19,3,0,3,0,0,0,0,0,0,1,0,6,0,0,1:76
"7",0,0,0,0,0,3,7,0,0,9,0,0,1,9,7,0,0,0,0,2,0,11,5,1,19,12,1,2,0,4,0,1,0,2,4,0,2,0,0,0,4,10,7,0,0,20,3,0,3,0,0,0,0,0,0,1,0,6,0,0,1:76
"8",0,0,0,0,0,3,8,0,0,10,0,0,1,9,7,0,0,0,0,3,0,13,5,3,22,13,1,2,0,4,0,1,0,2,11,0,3,0,0,0,8,10,8,0,0,25,3,0,3,0,0,0,0,0,0,1,0,7,0,0,1:76
"9",0,0,0,0,0,3,8,0,0,10,0,0,4,9,8,0,0,0,0,3,0,14,5,3,24,13,1,2,0,4,0,2,0,2,11,0,3,0,0,0,8,10,8,0,0,29,3,0,4,0,0,0,0,0,0,1,0,7,0,0,1:76
"10",0,0,0,0,0,3,8,0,0,10,0,0,4,11,9,0,0,0,0,4,1,15,5,4,26,17,1,4,0,4,0,2,0,2,11,0,4,0,0,0,8,12,8,0,0,32,3,0,4,0,1,0,0,0,0,1,0,8,0,0,1:76
