"","Bay Village","Downtown","West End","Chinatown","Beacon Hill","North End","Mission Hill","Kenmore","Charlestown","Back Bay","Fenway","Allston","North Dorchester","South End","West Roxbury","Roslindale","Hyde Park","South Boston","Mattapan","Brighton","Jamaica Plain","East Boston","Roxbury","South Dorchester","date"
"X2010.11"," 0","18"," 7"," 4"," 7"," 6"," 9"," 0"," 6","31","17"," 8"," 0","17"," 1"," 1"," 0"," 0"," 0"," 0","13"," 6","18"," 0","X2010.11"
"X2010.12"," 0","18"," 7"," 4"," 9"," 7"," 9"," 0"," 6","31","17"," 8"," 0","17"," 1"," 1"," 0"," 0"," 0"," 1","13"," 6","18"," 0","X2010.12"
"X2011.01"," 0","18"," 7"," 4","12"," 7","10"," 0"," 7","31","20"," 8"," 0","18"," 1"," 1"," 0"," 0"," 0"," 2","14"," 6","18"," 0","X2011.01"
"X2011.02"," 0","18"," 7"," 4","13"," 7","10"," 0"," 7","31","20"," 8"," 0","18"," 1"," 2"," 0"," 0"," 0"," 2","16"," 6","18"," 0","X2011.02"
"X2011.03"," 0","19"," 7"," 4","13"," 7","10"," 0"," 9","32","20"," 9"," 0","18"," 1"," 2"," 0"," 0"," 0"," 4","17"," 6","18"," 0","X2011.03"
"X2011.04"," 0","19"," 7"," 4","13"," 7","10"," 0"," 9","32","20"," 9"," 0","19"," 1"," 3"," 0"," 0"," 0"," 4","19"," 9","18"," 0","X2011.04"
"X2011.05"," 1","23"," 8"," 4","13"," 7","13"," 0","11","34","20","11"," 0","22"," 2"," 3"," 0"," 0"," 0"," 5","20","10","18"," 0","X2011.05"
"X2011.06"," 1","23"," 8"," 4","13"," 8","13"," 0","12","34","20","11"," 0","23"," 3"," 3"," 0"," 1"," 0"," 5","22","10","20"," 0","X2011.06"
"X2011.07"," 1","25"," 8"," 4","16"," 8","13"," 0","13","34","20","14"," 0","23"," 3"," 3"," 0"," 2"," 0"," 7","22","10","20"," 0","X2011.07"
"X2011.08"," 1","26"," 8"," 4","19"," 8","13"," 0","16","39","20","15"," 0","28"," 4"," 3"," 0"," 8"," 0"," 9","29","10","22"," 0","X2011.08"
"X2011.09"," 1","26"," 8"," 4","19"," 8","16"," 0","16","39","22","16"," 0","31"," 4"," 3"," 0","12"," 0"," 9","36","10","23"," 0","X2011.09"
"X2011.10"," 2","27"," 8"," 4","20","11","18"," 0","16","40","22","17"," 0","32"," 4"," 6"," 0","12"," 0","11","39","11","23"," 0","X2011.10"
"X2011.11"," 2","27"," 8"," 4","20","12","18"," 0","16","41","22","17"," 0","32"," 5"," 6"," 0","13"," 0","11","41","11","23"," 0","X2011.11"
"X2011.12"," 2","27"," 8"," 4","25","13","18"," 0","18","43","22","17"," 0","40"," 5"," 6"," 0","19"," 0","11","43","16","33"," 0","X2011.12"
"X2012.01"," 2","27"," 9"," 4","25","13","22"," 0","18","44","24","17"," 0","40"," 5"," 6"," 0","19"," 0","12","51","16","33"," 0","X2012.01"
"X2012.02"," 2","27"," 9"," 4","27","16","22"," 0","18","46","24","17"," 0","49"," 5"," 6"," 0","19"," 0","12","54","16","33"," 0","X2012.02"
"X2012.03"," 2","28"," 9"," 4","27","18","22"," 0","18","47","25","17"," 0","50"," 5"," 6"," 0","19"," 0","13","60","16","33"," 0","X2012.03"
"X2012.04"," 2","30"," 9"," 4","29","23","22"," 0","19","51","27","20"," 0","52"," 5"," 6"," 0","20"," 0","15","64","16","33"," 0","X2012.04"
"X2012.05"," 2","31"," 9"," 4","31","23","22"," 0","19","52","27","22"," 0","61"," 5"," 6"," 0","20"," 0","15","71","16","33"," 0","X2012.05"
"X2012.06"," 6","38"," 9"," 4","33","23","22"," 0","20","53","27","23"," 0","63"," 5"," 6"," 0","21"," 0","17","72","16","33"," 0","X2012.06"
"X2012.07"," 6","39"," 9"," 4","34","23","22"," 0","21","53","27","23"," 0","64"," 5"," 7"," 0","21"," 0","17","78","19","33"," 0","X2012.07"
"X2012.08"," 6","39"," 9"," 9","37","24","22"," 0","22","56","29","23"," 0","67"," 8"," 7"," 0","22"," 0","17","83","20","33"," 0","X2012.08"
"X2012.09"," 6","45"," 9"," 9","37","26","22"," 0","26","57","29","24"," 0","75"," 8"," 9"," 1","24"," 0","17","87","20","33"," 0","X2012.09"
"X2012.10"," 6","45"," 9"," 9","40","33","23"," 0","28","61","29","26"," 0","76"," 8"," 9"," 1","27"," 0","19","90","24","33"," 0","X2012.10"
"X2012.11"," 6","46"," 9","10","41","34","23"," 0","29","62","30","26"," 0","80"," 9","10"," 1","28"," 0","20","98","24","38"," 0","X2012.11"
"X2012.12","  6"," 46","  9"," 10"," 41"," 35"," 23","  0"," 31"," 72"," 33"," 27","  0"," 82","  9"," 10","  1"," 29","  0"," 20","104"," 24"," 38","  0","X2012.12"
"X2013.01","  6"," 46","  9"," 10"," 42"," 35"," 25","  0"," 31"," 72"," 34"," 28","  0"," 86"," 10"," 11","  1"," 29","  0"," 20","105"," 25"," 38","  0","X2013.01"
