"","Lake Balboa","Playa Vista","La Tuna Canyon","Hermon","Shadow Hills","Century City","University Hills","Elysian Valley","Montecito Heights","Bel Air","Beverlywood","Toluca Lake","Crestview","Cypress Park","Atwater Village","Leimert Park","West Los Angeles","Lakeview Terrace","Cheviot Hills","Beverly Glen","Playa Del Rey","Mount Washington","Central City East","Mission Hills","Porter Ranch","Sunland","Harbor City","Tujunga","Pacific Palisades","Pico-Robertson","Valley Village","Echo Park","Glassell Park","Los Feliz","Pico-Union","Eagle Rock","Jefferson Park","Harvard Heights","Valley Glen","Hollywood Hills","Brentwood","Downtown","Sawtelle","Venice","Lincoln Heights","West Hills","Del Rey","Studio City","Hyde Park","Westchester","Silver Lake","Arleta","Crenshaw","Chatsworth","Tarzana","Watts","Harbor Gateway","Mar Vista","Mid Wilshire","El Sereno","Encino","Mid City West","West Adams","Palms","Highland Park","Woodland Hills","Winnetka","Granada Hills","Central City","Westwood","Wilmington","North Hills","Panorama City","Reseda","Pacoima","San Pedro","Northridge","Sylmar","Boyle Heights","Canoga Park","Sun Valley","Westlake","Koreatown","Mid City","North Hollywood","Hollywood","Van Nuys","Southeast Los Angeles","South Los Angeles","Sherman Oaks"
"2010-11-01",0,1,0,0,0,0,0,1,3,0,0,0,0,0,6,2,4,0,0,0,0,4,0,0,0,0,2,0,4,5,4,17,5,12,0,7,2,3,2,26,2,40,7,62,0,1,6,7,0,1,24,0,0,0,1,0,1,17,0,1,0,0,1,0,7,4,1,1,0,3,0,0,0,0,0,1,0,0,1,0,2,7,7,0,10,41,1,0,0,3
"2010-12-01",0,1,0,0,0,0,0,1,3,0,0,0,0,0,6,2,4,0,0,0,0,5,0,0,0,0,2,0,5,5,4,18,6,12,0,7,3,5,2,27,2,41,7,66,0,1,6,7,0,1,26,0,0,0,1,0,1,18,0,1,0,0,1,0,8,4,1,1,0,3,0,0,0,0,0,3,0,0,1,0,2,9,7,0,11,42,1,0,0,3
"2011-01-01",0,2,0,0,0,0,0,1,3,0,0,1,0,0,6,2,4,0,0,0,0,5,0,0,0,0,2,0,5,5,4,19,6,12,2,7,3,5,2,31,2,41,7,71,0,1,8,7,0,1,27,0,0,0,1,0,1,19,0,1,0,0,2,0,8,4,1,1,0,5,0,0,0,0,0,3,0,0,1,0,2,9,7,0,11,43,1,0,0,3
"2011-02-01",0,2,0,0,0,0,0,1,3,0,3,1,0,0,6,2,4,0,0,0,0,5,0,0,0,0,2,0,5,6,4,19,6,15,2,7,3,5,2,31,2,43,7,76,0,1,8,9,0,3,27,0,0,0,1,0,1,20,0,1,0,0,2,0,8,4,1,1,0,5,0,0,0,0,0,3,0,0,1,0,2,9,7,0,12,45,1,0,0,3
"2011-03-01",1,2,0,0,0,0,0,1,3,0,3,1,0,0,6,2,4,0,0,0,0,5,0,0,0,0,2,0,6,6,4,19,6,16,2,9,3,5,2,32,2,43,7,79,0,1,8,9,0,3,28,0,0,0,1,0,1,21,0,1,1,0,2,0,8,4,1,1,0,5,0,0,0,0,0,3,0,0,1,0,2,9,7,0,12,45,1,0,0,3
"2011-04-01",1,2,0,0,0,0,0,2,4,0,3,1,0,0,9,2,4,0,0,0,0,5,0,0,0,0,2,3,6,7,4,28,6,19,2,9,3,5,2,36,2,43,8,82,0,1,8,10,0,3,32,0,0,0,1,0,1,21,0,1,1,0,2,0,8,4,1,1,0,5,0,1,0,0,0,3,0,0,1,0,2,9,7,0,14,48,1,0,0,4
"2011-05-01",1,2,0,0,0,0,0,2,5,0,3,1,0,0,10,2,4,0,0,0,0,7,0,0,0,0,2,3,7,7,4,32,6,20,2,11,3,5,5,39,3,44,9,85,0,1,8,10,0,6,35,0,0,0,1,0,1,22,0,1,1,0,4,0,9,7,1,1,0,5,0,1,0,0,0,3,0,0,1,0,2,11,8,0,14,54,1,0,0,5
"2011-06-01",1,2,0,0,0,0,0,2,5,0,3,2,0,1,10,2,4,0,0,0,0,7,0,0,0,0,2,3,13,7,5,36,6,22,2,11,3,5,9,39,3,44,10,91,3,2,9,11,0,6,37,0,0,0,1,0,1,22,0,3,1,0,4,0,11,7,1,1,0,7,0,1,0,1,0,3,0,0,1,0,2,12,11,0,18,61,1,0,0,7
"2011-07-01",1,2,0,0,0,0,0,2,7,0,3,3,0,1,11,2,4,0,0,0,0,9,0,0,0,0,2,3,13,7,6,40,10,25,2,11,3,6,9,41,3,48,12,102,3,3,10,12,0,8,43,0,0,0,1,0,1,22,0,3,2,0,4,0,14,7,1,1,0,10,0,1,0,1,0,3,0,1,1,2,2,18,13,0,18,72,1,0,0,13
"2011-08-01",1,3,0,0,0,1,0,3,8,0,3,3,0,1,12,2,5,0,0,0,0,11,0,0,0,0,2,3,13,7,6,43,10,28,2,14,3,6,9,49,3,51,15,123,3,3,14,14,0,12,47,0,0,0,1,0,1,25,0,3,2,0,4,4,15,7,1,1,0,12,0,1,0,1,0,3,0,2,4,2,2,22,13,0,20,77,1,0,0,14
