"","X","Neighborhood","Airbnb","Date","City","ZRI","ZRI_City","ZRI_SFR_CONDO"
"1",1,"Willowbrook.(New York)",0,2016-12-01,"New York, NY",2080,2392,2159
"2",2,"Willowbrook.(New York)",0,2016-11-01,"New York, NY",2073,2388,2140
"3",3,"Willowbrook.(New York)",0,2016-10-01,"New York, NY",2077,2384,2123
"4",4,"Willowbrook.(New York)",0,2016-09-01,"New York, NY",2090,2387,2122
"5",5,"Willowbrook.(New York)",0,2016-08-01,"New York, NY",2097,2396,2126
"6",6,"Willowbrook.(New York)",0,2016-07-01,"New York, NY",2100,2407,2127
"7",7,"Willowbrook.(New York)",0,2016-06-01,"New York, NY",2087,2415,2108
"8",8,"Willowbrook.(New York)",0,2016-05-01,"New York, NY",2084,2419,2092
"9",9,"Willowbrook.(New York)",0,2016-04-01,"New York, NY",2097,2421,2092
"10",10,"Willowbrook.(New York)",0,2016-03-01,"New York, NY",2132,2418,2121
"11",11,"Willowbrook.(New York)",0,2016-02-01,"New York, NY",2140,2409,2122
"12",12,"Willowbrook.(New York)",0,2016-01-01,"New York, NY",2152,2399,2133
"13",13,"Neponsit.(New York)",0,2016-12-01,"New York, NY",2388,2392,2390
"14",14,"Neponsit.(New York)",0,2016-11-01,"New York, NY",2406,2388,2408
"15",15,"Neponsit.(New York)",0,2016-10-01,"New York, NY",2397,2384,2399
"16",16,"Neponsit.(New York)",0,2016-09-01,"New York, NY",2384,2387,2385
"17",17,"Neponsit.(New York)",0,2016-08-01,"New York, NY",2366,2396,2367
"18",18,"Neponsit.(New York)",0,2016-07-01,"New York, NY",2344,2407,2346
"19",19,"Neponsit.(New York)",0,2016-06-01,"New York, NY",2322,2415,2324
"20",20,"Neponsit.(New York)",0,2016-05-01,"New York, NY",2310,2419,2311
"21",21,"Neponsit.(New York)",0,2016-04-01,"New York, NY",2302,2421,2303
"22",22,"Neponsit.(New York)",0,2016-03-01,"New York, NY",2310,2418,2311
"23",23,"Neponsit.(New York)",0,2016-02-01,"New York, NY",2321,2409,2323
"24",24,"Neponsit.(New York)",0,2016-01-01,"New York, NY",2326,2399,2329
"25",25,"Chelsea-Travis.(New York)",0,2016-12-01,"New York, NY",2177,2392,2193
"26",26,"Chelsea-Travis.(New York)",0,2016-11-01,"New York, NY",2162,2388,2175
"27",27,"Chelsea-Travis.(New York)",0,2016-10-01,"New York, NY",2148,2384,2159
"28",28,"Chelsea-Travis.(New York)",0,2016-09-01,"New York, NY",2146,2387,2154
"29",29,"Chelsea-Travis.(New York)",0,2016-08-01,"New York, NY",2140,2396,2145
"30",30,"Chelsea-Travis.(New York)",0,2016-07-01,"New York, NY",2121,2407,2122
"31",31,"Chelsea-Travis.(New York)",0,2016-06-01,"New York, NY",2092,2415,2091
"32",32,"Chelsea-Travis.(New York)",0,2016-05-01,"New York, NY",2069,2419,2068
"33",33,"Chelsea-Travis.(New York)",0,2016-04-01,"New York, NY",2068,2421,2066
"34",34,"Chelsea-Travis.(New York)",0,2016-03-01,"New York, NY",2084,2418,2081
"35",35,"Chelsea-Travis.(New York)",0,2016-02-01,"New York, NY",2088,2409,2081
"36",36,"Chelsea-Travis.(New York)",0,2016-01-01,"New York, NY",2089,2399,2082
"37",37,"Lighthouse Hill.(New York)",0,2016-12-01,"New York, NY",2715,2392,2770
"38",38,"Lighthouse Hill.(New York)",0,2016-11-01,"New York, NY",2719,2388,2766
"39",39,"Lighthouse Hill.(New York)",0,2016-10-01,"New York, NY",2753,2384,2800
"40",40,"Lighthouse Hill.(New York)",0,2016-09-01,"New York, NY",2784,2387,2829
"41",41,"Lighthouse Hill.(New York)",0,2016-08-01,"New York, NY",2822,2396,2867
"42",42,"Lighthouse Hill.(New York)",0,2016-07-01,"New York, NY",2849,2407,2895
"43",43,"Lighthouse Hill.(New York)",0,2016-06-01,"New York, NY",2855,2415,2908
