"","DIA","Stapleton","Civic Center","Overland","Jefferson Park","Rosedale","City Park","Country Club","Skyland","Indian Creek","Central Business District","Wellshire","Globeville","Valverde","Cory - Merrill","Chaffee Park","Regis","City Park West","Union Station","Southmoor Park","Clayton","Belcaro","Cole","Barnum West","Goldsmith","Baker","Platt Park","Cherry Creek","North Capitol Hill","Barnum","Montclair","Lincoln Park","Whittier","University Hills","Hale","College View - South Platte","Washington Park West","Washington Park","Elyria Swansea","Sloan Lake","University Park","Berkeley","Northeast Park Hill","Hilltop","Fort Logan","Athmar Park","Cheesman Park","Highland","South Park Hill","Villa Park","Lowry Field","Harvey Park South","West Colfax","North Park Hill","West Highland","University","Bear Valley","Ruby Hill","Marston","Sunnyside","Congress Park","East Colfax","Harvey Park","Speer","Washington Virginia Vale","Virginia Village","Five Points","Windsor","Mar Lee","Hampden South","Capitol Hill","Westwood","Hampden","Gateway - Green Valley Ranch","Montbello"
"2010-11-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,1,0,3,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,5,1,1,0,0,1,7,5,0,0,0,0,3,2,1,0,4,0,0,4,0,0,0,3,0,0,0,0
"2010-12-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,1,0,3,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,5,1,1,0,0,1,7,6,0,0,0,0,3,3,1,0,4,0,0,8,0,0,0,3,0,0,0,0
"2011-01-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,1,0,3,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,1,5,3,1,0,0,1,7,6,0,0,0,0,3,3,1,0,4,0,0,8,0,0,0,4,0,0,0,0
"2011-02-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,4,1,0,4,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,1,5,3,1,0,0,1,7,6,0,0,0,0,3,4,1,0,4,0,0,10,0,0,0,5,0,0,0,0
"2011-03-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,6,1,0,4,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,1,5,3,1,0,0,1,7,6,0,0,0,0,3,4,1,0,4,0,0,10,0,0,0,6,0,0,0,0
"2011-04-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,6,1,0,4,0,0,1,0,0,1,0,4,1,0,1,0,0,0,0,1,0,1,6,3,1,0,0,1,7,6,0,0,0,0,3,4,1,0,4,0,0,10,0,0,0,7,0,0,0,0
"2011-05-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,6,1,0,4,0,0,1,0,0,1,0,4,2,0,1,0,0,0,0,1,0,1,6,3,1,0,0,1,7,7,0,0,0,0,3,4,1,1,4,0,0,10,0,0,0,7,0,0,0,0
"2011-06-01",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,6,1,0,4,0,0,2,0,0,1,0,4,2,0,1,0,0,0,0,1,0,1,7,3,2,1,0,1,7,7,1,0,0,0,5,4,1,1,4,0,0,10,0,0,0,7,0,0,0,0
"2011-07-01",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,6,2,0,4,0,0,2,1,0,2,0,4,2,0,1,0,0,0,0,1,1,1,8,3,2,1,0,1,7,7,1,0,0,0,5,5,1,1,4,0,0,10,0,0,0,8,0,0,0,0
"2011-08-01",0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,5,3,0,8,2,0,4,0,0,2,2,0,2,0,4,2,0,1,0,0,0,0,1,1,2,8,3,2,1,0,1,7,7,1,0,0,0,5,5,1,1,4,0,1,10,0,0,1,8,0,0,0,0
