"","Columbia Gardens","Crestmont","Skyline - Hillcrest Estates","Leona Heights","Crocker Highland","Claremont","Old City","Foothill Square","Glen Highlands","Woodminster","Oak Knoll-Golf Links","Golden Gate","Lincoln Highlands","Shepherd Canyon","Lockwood Tevis","Fairfax","Clawson","Produce & Waterfront","Toler Heights","Durant Manor","Highland","Chinatown","Caballo Hills","Upper Peralta Creek","Las Palmas","Piedmont Pines","Sobrante Park","Lakewide","Merriwood","Frick","Brookfield Village","Cox","Castlemont","Coliseum","North Stonehurst","Jefferson","Eastmont","Iveywood","Temescal","Chabot Park","Sequoyah","Harrington","Highland Terrace","Eastmont Hills","Millsmont","Allendale","Grand Lake","Seminary","Fremont","Rancho San Antonio","Oakland Ave-Harrison St","Prescott","Glenview","Arroyo Viejo","Meadow Brook","St. Elizabeth","Maxwell Park","Upper Rockridge","Webster","Upper Dimond","Piedmont Avenue","Clinton","Cleveland Heights","Havenscourt","Adams Point","Redwood Heights"
"2010-11-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,3,0,0,0,7,9,1,0,0,0,0,3,0,1,5,0,1,0,4,0
"2010-12-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,7,9,2,0,0,0,0,3,0,1,6,0,1,0,4,0
"2011-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,7,9,2,0,0,0,0,3,0,1,6,0,1,0,4,0
"2011-02-01",0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,0,0,0,7,9,2,0,0,0,0,3,0,1,6,0,1,0,4,0
"2011-03-01",0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0,0,7,9,2,0,0,0,0,3,0,1,7,0,1,0,4,0
"2011-04-01",0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,1,0,5,0,0,0,7,9,2,0,0,0,0,3,0,1,8,0,3,0,4,0
"2011-05-01",0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,2,2,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,1,1,5,0,0,0,7,9,2,0,0,0,0,4,0,1,8,0,3,0,4,0
"2011-06-01",0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,2,3,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,1,1,6,0,0,0,8,9,2,0,0,0,0,4,0,2,8,0,3,0,5,0
"2011-07-01",0,0,0,0,1,0,0,0,0,0,0,6,0,3,0,2,3,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,9,0,2,0,0,1,1,1,8,0,0,0,8,11,2,0,0,0,1,5,0,2,9,0,3,0,5,0
"2011-08-01",0,0,0,0,1,0,0,0,0,0,0,6,0,4,0,2,3,0,2,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,11,0,2,0,0,1,2,1,8,0,0,0,8,11,2,0,0,0,1,5,0,2,9,0,3,0,5,0
"2011-09-01",0,0,0,0,1,0,0,0,0,0,0,6,0,4,0,2,3,0,2,0,0,1,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,13,0,2,0,0,1,2,1,8,0,0,0,8,11,2,0,0,0,1,5,0,3,9,0,4,0,5,0
"2011-10-01",0,0,0,0,1,0,0,0,0,0,0,6,0,4,0,2,3,0,2,0,0,1,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,13,0,2,0,0,1,2,1,8,0,0,0,8,13,3,0,0,0,1,5,0,3,9,0,6,0,6,0
"2011-11-01",0,0,0,0,3,0,0,0,1,0,0,6,1,4,0,2,4,0,2,0,0,1,0,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,14,0,2,0,0,1,2,1,8,0,0,0,9,14,3,0,0,0,1,6,0,3,10,0,7,0,6,0
"2011-12-01",0,0,0,0,3,0,0,0,1,0,0,7,1,4,0,2,6,0,2,0,0,3,1,0,0,2,0,2,6,0,0,0,0,0,0,0,1,0,14,0,2,0,0,1,2,1,8,0,0,0,10,14,3,0,0,0,1,6,0,3,10,0,7,0,6,0
"2012-01-01",0,0,0,0,3,0,0,0,2,0,0,8,1,4,0,2,6,0,2,0,0,3,3,0,0,2,0,2,7,0,0,0,0,0,0,0,1,0,16,0,5,0,0,1,2,1,8,0,0,0,10,15,3,0,0,0,1,6,0,4,10,0,7,0,7,0
"2012-02-01",0,0,0,0,3,0,0,0,2,0,0,8,1,4,0,2,8,0,2,0,0,3,3,0,0,2,0,2,7,0,0,0,0,0,0,0,3,0,17,0,5,0,0,4,2,1,8,0,0,0,10,15,3,0,0,0,1,7,0,4,10,0,8,0,7,0
"2012-03-01",0,0,0,0,3,0,0,0,2,0,0,8,1,4,0,2,9,0,2,0,0,3,3,0,0,2,0,2,7,0,0,0,0,0,0,0,3,0,20,0,5,0,0,4,2,1,8,0,0,0,10,15,5,0,0,0,1,8,0,4,10,0,11,0,8,0
"2012-04-01",0,0,0,0,3,0,0,0,2,0,0,8,1,4,0,2,11,0,2,0,0,3,3,0,0,2,0,2,7,0,0,0,0,0,0,0,3,0,20,0,5,1,0,4,2,1,10,0,0,0,10,15,5,0,0,0,1,9,0,4,11,0,11,0,8,0
"2012-05-01",0,0,0,0,4,0,0,0,2,0,0,8,1,4,0,2,11,0,4,0,0,4,3,0,0,2,0,2,7,0,0,0,0,0,0,0,3,0,21,0,5,1,1,5,2,1,10,0,0,0,12,15,5,0,0,0,1,10,0,4,11,0,11,0,9,0
"2012-06-01",0,0,0,0,4,0,0,0,2,0,0,8,1,4,0,2,12,0,4,0,0,4,3,0,0,2,0,2,8,0,0,0,0,0,0,0,3,0,21,0,6,1,1,5,2,1,11,0,0,0,13,16,5,0,0,0,1,10,0,4,11,0,12,0,13,1
"2012-07-01",0,0,0,0,4,1,0,0,2,0,0,9,1,5,0,2,14,0,4,0,0,4,3,0,0,2,0,2,9,0,0,0,0,0,0,0,3,0,21,0,6,1,1,5,2,1,11,0,1,0,13,17,5,0,0,0,1,12,0,4,12,0,15,0,13,1
"2012-08-01",0,0,0,0,5,1,0,0,2,0,0,9,3,6,0,2,14,0,4,1,0,4,3,0,0,2,0,2,9,0,0,0,0,0,0,0,3,0,21,0,6,1,1,5,2,1,11,0,1,0,16,20,5,0,0,0,1,14,0,5,12,0,16,0,15,1
"2012-09-01",0,0,0,0,6,1,0,0,2,0,0,9,3,6,0,2,14,0,4,1,0,5,3,0,0,2,0,3,10,0,0,0,0,0,0,0,3,0,22,0,6,1,1,5,2,1,11,0,1,0,19,20,6,0,0,0,1,14,0,5,14,0,16,0,16,1
"2012-10-01",0,0,0,0,7,1,0,0,2,0,0,9,3,6,0,2,14,0,4,1,0,5,3,0,0,2,0,4,10,1,0,0,0,0,0,2,3,0,25,1,6,1,1,6,2,1,11,0,1,0,19,22,6,0,0,0,1,14,0,5,15,0,17,0,17,2
"2012-11-01",0,0,0,0,7,1,0,0,3,0,0,9,3,6,0,2,14,0,4,1,0,5,3,0,0,2,0,4,10,1,0,0,0,0,0,2,3,0,29,2,6,1,1,6,2,1,11,0,2,0,20,25,9,0,0,0,1,15,0,6,17,0,17,0,18,2
"2012-12-01",0,0,0,0,7,1,0,0,3,0,0,9,3,9,0,2,14,0,4,1,0,5,3,0,0,2,0,4,10,1,0,0,0,0,0,2,3,0,29,2,8,1,2,6,2,1,12,0,2,0,20,27,9,0,0,0,2,16,0,6,18,1,17,0,18,2
"2013-01-01",0,0,0,0,7,1,0,0,3,0,0,9,3,9,0,2,14,0,4,1,0,5,3,0,0,2,0,4,10,2,0,0,0,0,0,2,3,0,29,2,8,1,2,6,3,1,13,0,2,0,20,27,9,0,0,0,2,16,0,6,19,1,17,0,18,3
"2013-02-01",0,0,0,0,7,1,0,0,3,0,0,11,3,10,0,2,14,0,4,1,0,5,3,0,0,2,0,5,10,2,0,0,0,0,0,2,3,0,31,2,8,1,2,6,3,1,13,0,2,0,22,31,9,0,0,0,2,16,0,6,20,1,19,0,18,3
"2013-03-01",0,0,0,0,7,1,0,0,3,0,0,11,3,11,0,2,14,0,4,1,0,7,3,0,0,2,0,6,10,3,0,0,0,0,0,2,3,0,31,2,8,1,2,6,3,1,15,0,2,0,23,31,9,0,0,0,2,16,0,6,22,1,20,0,18,4
