"","Sylvan Highlands","Hayden Island","Collins View","Hollywood","South Burlingame","Far Southwest","Crestwood","Marshall Park","Forest Park - Linnton","Sumner","Markham","Hillside","Cathedral Park","Maplewood","Arnold Creek","Old Town-Chinatown","Vernon","Homestead","Ocean Avenue","East Deering","Oakdale","Eliot","Russell","Sullivan's Gulch","Boise","West Portland Park","Nasons Corner","Northwest Heights","Glenfair","Deering Center","Eastmoreland","Sabin","Reed","East End","Bridlemile","Rosemont","Grant Park","Brooklyn","Ashcreek","Woodlawn","Laurelhurst","Alameda","Southwest Hills","Kerns","Pearl District","University Park","Parkrose","North Tabor","Beaumont-Wilshire","Riverton","Hayhurst","Roseway","Parkrose Heights","South Tabor","Irvington","West End","Argay","Goose Hollow","Arbor Lodge","Overlook","Piedmont","Sunnyside","King","Hosford-Abernethy","Corbett-Terwilliger-Lair Hill","Foster-Powell","Hillsdale","Mount Scott","Pleasant Valley","Creston-Kenilworth","Kenton","Madison South","Multnomah","Buckman","Wilkes","Woodstock","Rose City Park","Mount Tabor","Concordia","Downtown","Portsmouth","Mill Park","North Deering","Sellwood-Moreland","Richmond","Brentwood-Darlington","Cully","Northwest","St.Johns","Montavilla","Lents","Centennial","Hazelwood","Powellhurst Gilbert"
"2010-11-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,1,0,2,7,0,0,0,1,0,0,4,2,0,3,2,0,0,1,1,0,0,1,1,6,0,0,0,0,0,1,0,0,0,7,0,3,2,0,5,0,2,0,0,0,3,1,1,0,0,5,0,0,0,0
"2010-12-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,10,1,0,2,7,0,0,0,1,0,0,4,2,0,3,2,0,0,1,1,0,0,1,3,6,0,0,0,0,0,1,0,0,0,7,0,3,2,0,5,0,2,0,0,0,4,1,1,0,0,5,0,0,0,0
"2011-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,10,1,0,2,7,0,0,0,1,0,0,4,2,0,3,2,0,0,1,2,0,0,1,3,6,0,0,0,0,0,1,0,0,0,7,0,3,2,0,7,0,3,0,0,0,5,1,1,0,0,5,0,0,0,0
"2011-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,8,0,0,0,0,0,1,2,4,0,0,0,0,0,0,10,1,0,2,7,0,0,0,1,0,0,4,2,0,3,4,0,0,1,4,0,0,1,3,6,0,0,0,0,0,1,0,0,0,9,0,3,2,0,7,0,3,0,0,0,7,1,2,0,0,6,0,0,0,0
"2011-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,8,0,0,0,0,0,1,2,4,0,0,0,0,0,0,10,1,0,2,7,0,0,0,1,0,0,4,2,0,3,6,0,0,1,4,1,0,1,3,6,0,0,1,0,0,2,0,0,0,10,0,3,2,0,9,0,3,0,0,0,8,1,2,0,0,6,0,0,0,0
"2011-04-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,9,0,0,0,0,0,1,2,4,0,0,0,0,0,0,11,1,0,2,7,0,2,0,1,0,0,4,2,0,3,6,0,0,1,4,3,0,3,3,6,0,0,1,0,0,2,0,0,0,10,0,3,2,0,9,0,3,0,0,0,9,1,2,0,0,6,0,0,0,0
"2011-05-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,10,0,0,0,0,0,1,6,4,0,0,0,0,0,0,13,1,0,2,8,0,2,0,1,2,0,4,2,2,3,8,0,0,1,4,4,0,3,3,6,0,0,1,0,0,5,0,0,1,12,0,3,4,0,14,0,3,0,0,0,9,1,2,0,0,6,0,0,0,0
"2011-06-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,0,2,11,0,0,0,0,0,1,6,4,0,0,0,0,0,0,13,2,0,2,8,0,2,0,3,2,0,4,2,2,4,8,0,0,3,4,4,3,4,3,6,0,0,1,0,0,6,0,0,2,12,0,4,4,0,16,0,3,0,0,0,12,1,2,0,0,6,0,0,0,0
"2011-07-01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,0,0,0,1,0,2,15,0,0,0,0,0,1,6,4,0,0,0,1,0,0,14,3,0,2,8,0,2,0,3,5,0,4,2,2,4,8,0,0,3,5,4,4,4,3,7,0,0,1,0,0,6,0,0,2,12,0,4,4,0,21,0,3,0,0,0,13,1,2,0,0,8,0,0,0,0
"2011-08-01",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,28,2,0,0,0,2,0,2,17,0,0,1,0,0,1,7,4,0,0,0,1,0,0,15,3,0,2,9,0,2,2,3,5,0,4,2,2,4,11,0,0,3,5,7,5,5,4,7,0,0,1,0,0,7,0,0,2,14,0,4,6,0,27,0,3,0,0,0,23,1,4,0,0,8,1,0,0,0
"2011-09-01",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,28,2,0,0,0,3,0,2,17,0,0,1,0,0,1,8,4,0,0,0,1,0,0,20,3,0,2,11,0,2,2,3,5,0,4,3,2,5,19,0,0,5,7,9,6,5,9,7,0,0,1,0,0,7,1,0,2,14,0,4,10,0,29,0,3,0,0,0,23,1,4,0,0,9,1,0,0,0
"2011-10-01",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,29,2,0,0,0,3,0,2,18,0,0,1,0,0,1,8,4,0,0,0,1,0,0,20,3,0,2,12,0,2,2,3,5,0,4,3,2,6,21,0,0,5,9,14,7,6,11,9,0,0,2,0,0,7,1,0,2,14,0,4,10,0,31,0,3,0,0,0,26,1,6,0,0,9,1,0,0,0
"2011-11-01",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,31,2,0,0,0,5,0,2,18,0,0,1,0,0,1,8,4,0,0,0,1,0,0,21,3,1,2,12,0,2,2,3,6,0,4,4,2,6,21,0,0,5,9,14,7,6,12,11,0,0,4,0,0,7,1,0,2,16,0,4,12,0,31,0,3,0,0,0,34,1,6,0,0,10,1,0,0,0
"2011-12-01",0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,32,2,0,0,0,5,0,2,19,0,0,1,0,0,1,8,4,0,0,0,1,0,1,21,3,1,2,12,0,2,2,5,6,0,4,4,2,6,21,0,0,5,11,23,7,9,13,12,0,0,4,0,0,8,1,2,2,16,0,5,12,0,31,0,3,0,0,0,35,1,7,0,0,10,1,0,0,0
"2012-01-01",0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,32,2,0,0,0,5,0,2,22,0,0,1,0,0,1,8,4,0,0,0,1,0,1,21,3,2,2,12,0,2,2,5,6,0,4,4,2,6,21,0,0,5,11,23,8,9,14,12,0,0,5,0,0,8,1,2,2,20,0,5,12,0,31,0,3,0,0,0,35,1,7,0,0,11,1,0,0,0
