"","Neighborhood","Airbnb","Date","City","ZRI"
"1","DIA",1,2016-05-01,"Denver",1643
"2","DIA",1,2016-04-01,"Denver",1639
"3","DIA",1,2016-03-01,"Denver",1619
"4","DIA",1,2016-02-01,"Denver",1591
"5","DIA",1,2016-01-01,"Denver",1567
"6","DIA",1,2015-12-01,"Denver",1552
"7","DIA",1,2015-11-01,"Denver",1547
"8","DIA",0,2015-10-01,"Denver",1536
"9","DIA",0,2015-09-01,"Denver",1525
"10","DIA",0,2015-08-01,"Denver",1512
"11","DIA",0,2015-07-01,"Denver",1494
"12","DIA",0,2015-06-01,"Denver",1475
"13","DIA",0,2015-05-01,"Denver",1443
"14","DIA",0,2015-04-01,"Denver",1409
"15","DIA",0,2015-03-01,"Denver",1386
"16","DIA",0,2015-02-01,"Denver",1378
"17","DIA",0,2015-01-01,"Denver",1382
"18","DIA",0,2014-12-01,"Denver",1384
"19","DIA",0,2014-11-01,"Denver",1379
"20","DIA",0,2014-10-01,"Denver",1355
"21","DIA",0,2014-09-01,"Denver",1326
"22","DIA",0,2014-08-01,"Denver",1312
"23","DIA",0,2014-07-01,"Denver",1305
"24","DIA",0,2014-06-01,"Denver",1301
"25","DIA",0,2014-05-01,"Denver",1299
"26","DIA",0,2014-04-01,"Denver",1302
"27","DIA",0,2014-03-01,"Denver",1312
"28","DIA",0,2014-02-01,"Denver",1318
"29","DIA",0,2014-01-01,"Denver",1310
"30","DIA",0,2013-12-01,"Denver",1296
"31","DIA",0,2013-11-01,"Denver",1273
"32","DIA",0,2013-10-01,"Denver",1253
"33","DIA",0,2013-09-01,"Denver",1246
"34","DIA",0,2013-08-01,"Denver",1241
"35","DIA",0,2013-07-01,"Denver",1238
"36","DIA",0,2013-06-01,"Denver",1228
"37","DIA",0,2013-05-01,"Denver",1216
"38","DIA",0,2013-04-01,"Denver",1205
"39","DIA",0,2013-03-01,"Denver",1191
"40","DIA",0,2013-02-01,"Denver",1188
"41","DIA",0,2013-01-01,"Denver",1187
"42","DIA",0,2012-12-01,"Denver",1192
"43","DIA",0,2012-11-01,"Denver",1187
"44","DIA",0,2012-10-01,"Denver",1169
"45","DIA",0,2012-09-01,"Denver",1155
"46","DIA",0,2012-08-01,"Denver",1132
"47","DIA",0,2012-07-01,"Denver",1112
"48","DIA",0,2012-06-01,"Denver",1099
"49","DIA",0,2012-05-01,"Denver",1101
"50","DIA",0,2012-04-01,"Denver",1105
"51","DIA",0,2012-03-01,"Denver",1114
