"","Neighborhood","Airbnb","Date","City","ZRI","ZRI_City"
"1","Willowbrook.(New York)",0,2016-12-01,"New York, NY",2080,2392
"2","Willowbrook.(New York)",0,2016-11-01,"New York, NY",2073,2388
"3","Willowbrook.(New York)",0,2016-10-01,"New York, NY",2077,2384
"4","Willowbrook.(New York)",0,2016-09-01,"New York, NY",2090,2387
"5","Willowbrook.(New York)",0,2016-08-01,"New York, NY",2097,2396
"6","Willowbrook.(New York)",0,2016-07-01,"New York, NY",2100,2407
"7","Willowbrook.(New York)",0,2016-06-01,"New York, NY",2087,2415
"8","Willowbrook.(New York)",0,2016-05-01,"New York, NY",2084,2419
"9","Willowbrook.(New York)",0,2016-04-01,"New York, NY",2097,2421
"10","Willowbrook.(New York)",0,2016-03-01,"New York, NY",2132,2418
"11","Willowbrook.(New York)",0,2016-02-01,"New York, NY",2140,2409
"12","Willowbrook.(New York)",0,2016-01-01,"New York, NY",2152,2399
"13","Neponsit.(New York)",0,2016-12-01,"New York, NY",2388,2392
"14","Neponsit.(New York)",0,2016-11-01,"New York, NY",2406,2388
"15","Neponsit.(New York)",0,2016-10-01,"New York, NY",2397,2384
"16","Neponsit.(New York)",0,2016-09-01,"New York, NY",2384,2387
"17","Neponsit.(New York)",0,2016-08-01,"New York, NY",2366,2396
"18","Neponsit.(New York)",0,2016-07-01,"New York, NY",2344,2407
"19","Neponsit.(New York)",0,2016-06-01,"New York, NY",2322,2415
"20","Neponsit.(New York)",0,2016-05-01,"New York, NY",2310,2419
"21","Neponsit.(New York)",0,2016-04-01,"New York, NY",2302,2421
"22","Neponsit.(New York)",0,2016-03-01,"New York, NY",2310,2418
"23","Neponsit.(New York)",0,2016-02-01,"New York, NY",2321,2409
"24","Neponsit.(New York)",0,2016-01-01,"New York, NY",2326,2399
"25","Chelsea-Travis.(New York)",0,2016-12-01,"New York, NY",2177,2392
"26","Chelsea-Travis.(New York)",0,2016-11-01,"New York, NY",2162,2388
"27","Chelsea-Travis.(New York)",0,2016-10-01,"New York, NY",2148,2384
"28","Chelsea-Travis.(New York)",0,2016-09-01,"New York, NY",2146,2387
"29","Chelsea-Travis.(New York)",0,2016-08-01,"New York, NY",2140,2396
"30","Chelsea-Travis.(New York)",0,2016-07-01,"New York, NY",2121,2407
"31","Chelsea-Travis.(New York)",0,2016-06-01,"New York, NY",2092,2415
"32","Chelsea-Travis.(New York)",0,2016-05-01,"New York, NY",2069,2419
"33","Chelsea-Travis.(New York)",0,2016-04-01,"New York, NY",2068,2421
"34","Chelsea-Travis.(New York)",0,2016-03-01,"New York, NY",2084,2418
"35","Chelsea-Travis.(New York)",0,2016-02-01,"New York, NY",2088,2409
"36","Chelsea-Travis.(New York)",0,2016-01-01,"New York, NY",2089,2399
"37","Lighthouse Hill.(New York)",0,2016-12-01,"New York, NY",2715,2392
"38","Lighthouse Hill.(New York)",0,2016-11-01,"New York, NY",2719,2388
"39","Lighthouse Hill.(New York)",0,2016-10-01,"New York, NY",2753,2384
"40","Lighthouse Hill.(New York)",0,2016-09-01,"New York, NY",2784,2387
"41","Lighthouse Hill.(New York)",0,2016-08-01,"New York, NY",2822,2396
"42","Lighthouse Hill.(New York)",0,2016-07-01,"New York, NY",2849,2407
"43","Lighthouse Hill.(New York)",0,2016-06-01,"New York, NY",2855,2415
"44","Lighthouse Hill.(New York)",0,2016-05-01,"New York, NY",2855,2419
"45","Lighthouse Hill.(New York)",0,2016-04-01,"New York, NY",2862,2421
"46","Lighthouse Hill.(New York)",0,2016-03-01,"New York, NY",2885,2418
"47","Lighthouse Hill.(New York)",0,2016-02-01,"New York, NY",2879,2409
"48","Lighthouse Hill.(New York)",0,2016-01-01,"New York, NY",2873,2399
"49","Malba.(New York)",0,2016-12-01,"New York, NY",2523,2392
"50","Malba.(New York)",0,2016-11-01,"New York, NY",2501,2388
"51","Malba.(New York)",0,2016-10-01,"New York, NY",2469,2384
"52","Malba.(New York)",0,2016-09-01,"New York, NY",2460,2387
"53","Malba.(New York)",0,2016-08-01,"New York, NY",2456,2396
"54","Malba.(New York)",0,2016-07-01,"New York, NY",2461,2407
"55","Malba.(New York)",0,2016-06-01,"New York, NY",2462,2415
"56","Malba.(New York)",0,2016-05-01,"New York, NY",2458,2419
"57","Malba.(New York)",0,2016-04-01,"New York, NY",2454,2421
"58","Malba.(New York)",0,2016-03-01,"New York, NY",2434,2418
"59","Malba.(New York)",0,2016-02-01,"New York, NY",2405,2409
"60","Malba.(New York)",0,2016-01-01,"New York, NY",2404,2399
"61","Broad Channel.(New York)",0,2016-12-01,"New York, NY",2183,2392
"62","Broad Channel.(New York)",0,2016-11-01,"New York, NY",2170,2388
"63","Broad Channel.(New York)",0,2016-10-01,"New York, NY",2151,2384
"64","Broad Channel.(New York)",0,2016-09-01,"New York, NY",2137,2387
"65","Broad Channel.(New York)",0,2016-08-01,"New York, NY",2113,2396
"66","Broad Channel.(New York)",0,2016-07-01,"New York, NY",2092,2407
"67","Broad Channel.(New York)",0,2016-06-01,"New York, NY",2070,2415
"68","Broad Channel.(New York)",0,2016-05-01,"New York, NY",2074,2419
"69","Broad Channel.(New York)",0,2016-04-01,"New York, NY",2074,2421
"70","Broad Channel.(New York)",0,2016-03-01,"New York, NY",2077,2418
"71","Broad Channel.(New York)",0,2016-02-01,"New York, NY",2060,2409
"72","Broad Channel.(New York)",0,2016-01-01,"New York, NY",2048,2399
"73","Utopia.(New York)",8,2016-12-01,"New York, NY",2825,2392
"74","Utopia.(New York)",8,2016-11-01,"New York, NY",2756,2388
"75","Utopia.(New York)",8,2016-10-01,"New York, NY",2684,2384
"76","Utopia.(New York)",8,2016-09-01,"New York, NY",2637,2387
"77","Utopia.(New York)",8,2016-08-01,"New York, NY",2595,2396
