"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Columbia Gardens",0,2016-05-01,"Oakland",2190
"2","Columbia Gardens",0,2016-04-01,"Oakland",2142
"3","Columbia Gardens",0,2016-03-01,"Oakland",2116
"4","Columbia Gardens",0,2016-02-01,"Oakland",2082
"5","Columbia Gardens",0,2016-01-01,"Oakland",2067
"6","Columbia Gardens",0,2015-12-01,"Oakland",2042
"7","Columbia Gardens",0,2015-11-01,"Oakland",2015
"8","Columbia Gardens",0,2015-10-01,"Oakland",1963
"9","Columbia Gardens",0,2015-09-01,"Oakland",1897
"10","Columbia Gardens",0,2015-08-01,"Oakland",1842
"11","Columbia Gardens",0,2015-07-01,"Oakland",1811
"12","Columbia Gardens",0,2015-06-01,"Oakland",1807
"13","Columbia Gardens",0,2015-05-01,"Oakland",1795
"14","Columbia Gardens",0,2015-04-01,"Oakland",1783
"15","Columbia Gardens",0,2015-03-01,"Oakland",1768
"16","Columbia Gardens",0,2015-02-01,"Oakland",1762
"17","Columbia Gardens",0,2015-01-01,"Oakland",1748
"18","Columbia Gardens",0,2014-12-01,"Oakland",1729
"19","Columbia Gardens",0,2014-11-01,"Oakland",1709
"20","Columbia Gardens",0,2014-10-01,"Oakland",1702
"21","Columbia Gardens",0,2014-09-01,"Oakland",1699
"22","Columbia Gardens",0,2014-08-01,"Oakland",1680
"23","Columbia Gardens",0,2014-07-01,"Oakland",1665
"24","Columbia Gardens",0,2014-06-01,"Oakland",1648
"25","Columbia Gardens",0,2014-05-01,"Oakland",1646
"26","Columbia Gardens",0,2014-04-01,"Oakland",1645
"27","Columbia Gardens",0,2014-03-01,"Oakland",1638
"28","Columbia Gardens",0,2014-02-01,"Oakland",1618
"29","Columbia Gardens",0,2014-01-01,"Oakland",1598
"30","Columbia Gardens",0,2013-12-01,"Oakland",1589
"31","Columbia Gardens",0,2013-11-01,"Oakland",1572
"32","Columbia Gardens",0,2013-10-01,"Oakland",1551
"33","Columbia Gardens",0,2013-09-01,"Oakland",1533
"34","Columbia Gardens",0,2013-08-01,"Oakland",1527
"35","Columbia Gardens",0,2013-07-01,"Oakland",1535
"36","Columbia Gardens",0,2013-06-01,"Oakland",1546
"37","Columbia Gardens",0,2013-05-01,"Oakland",1561
"38","Columbia Gardens",0,2013-04-01,"Oakland",1572
"39","Columbia Gardens",0,2013-03-01,"Oakland",1565
"40","Columbia Gardens",0,2013-02-01,"Oakland",1545
"41","Columbia Gardens",0,2013-01-01,"Oakland",1520
"42","Columbia Gardens",0,2012-12-01,"Oakland",1512
"43","Columbia Gardens",0,2012-11-01,"Oakland",1511
"44","Columbia Gardens",0,2012-10-01,"Oakland",1530
"45","Columbia Gardens",0,2012-09-01,"Oakland",1559
"46","Columbia Gardens",0,2012-08-01,"Oakland",1579
"47","Columbia Gardens",0,2012-07-01,"Oakland",1584
"48","Columbia Gardens",0,2012-06-01,"Oakland",1569
"49","Columbia Gardens",0,2012-05-01,"Oakland",1555
"50","Columbia Gardens",0,2012-04-01,"Oakland",1544
"51","Columbia Gardens",0,2012-03-01,"Oakland",1542
"52","Columbia Gardens",0,2012-02-01,"Oakland",1541
"53","Columbia Gardens",0,2012-01-01,"Oakland",1553
"54","Columbia Gardens",0,2011-12-01,"Oakland",1559
"55","Columbia Gardens",0,2011-11-01,"Oakland",1559
"56","Columbia Gardens",0,2011-10-01,"Oakland",1551
"57","Columbia Gardens",0,2011-09-01,"Oakland",1546
"58","Columbia Gardens",0,2011-08-01,"Oakland",1546
"59","Columbia Gardens",0,2011-07-01,"Oakland",1530
"60","Columbia Gardens",0,2011-06-01,"Oakland",1514
