"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Gaslamp Quarter",0,2016-07-01,"San Diego",2238
"2","Gaslamp Quarter",0,2016-06-01,"San Diego",2231
"3","Gaslamp Quarter",0,2016-05-01,"San Diego",2210
"4","Gaslamp Quarter",0,2016-04-01,"San Diego",2198
"5","Gaslamp Quarter",0,2016-03-01,"San Diego",2194
"6","Gaslamp Quarter",0,2016-02-01,"San Diego",2195
"7","Gaslamp Quarter",0,2016-01-01,"San Diego",2192
"8","Gaslamp Quarter",0,2015-12-01,"San Diego",2199
"9","Gaslamp Quarter",0,2015-11-01,"San Diego",2203
"10","Gaslamp Quarter",0,2015-10-01,"San Diego",2199
"11","Gaslamp Quarter",0,2015-09-01,"San Diego",2193
"12","Gaslamp Quarter",0,2015-08-01,"San Diego",2176
"13","Gaslamp Quarter",0,2015-07-01,"San Diego",2158
"14","Gaslamp Quarter",0,2015-06-01,"San Diego",2161
"15","Gaslamp Quarter",0,2015-05-01,"San Diego",2177
"16","Gaslamp Quarter",0,2015-04-01,"San Diego",2194
"17","Gaslamp Quarter",0,2015-03-01,"San Diego",2190
"18","Gaslamp Quarter",0,2015-02-01,"San Diego",2186
"19","Gaslamp Quarter",0,2015-01-01,"San Diego",2173
"20","Gaslamp Quarter",0,2014-12-01,"San Diego",2151
"21","Gaslamp Quarter",0,2014-11-01,"San Diego",2117
"22","Gaslamp Quarter",0,2014-10-01,"San Diego",2087
"23","Gaslamp Quarter",0,2014-09-01,"San Diego",2082
"24","Gaslamp Quarter",0,2014-08-01,"San Diego",2077
"25","Gaslamp Quarter",0,2014-07-01,"San Diego",2075
"26","Gaslamp Quarter",0,2014-06-01,"San Diego",2075
"27","Gaslamp Quarter",0,2014-05-01,"San Diego",2088
"28","Gaslamp Quarter",0,2014-04-01,"San Diego",2094
"29","Gaslamp Quarter",0,2014-03-01,"San Diego",2084
"30","Gaslamp Quarter",0,2014-02-01,"San Diego",2045
"31","Gaslamp Quarter",0,2014-01-01,"San Diego",2021
"32","Gaslamp Quarter",0,2013-12-01,"San Diego",2010
"33","Gaslamp Quarter",0,2013-11-01,"San Diego",2015
"34","Gaslamp Quarter",0,2013-10-01,"San Diego",2006
"35","Gaslamp Quarter",0,2013-09-01,"San Diego",1993
"36","Gaslamp Quarter",0,2013-08-01,"San Diego",1992
"37","Gaslamp Quarter",0,2013-07-01,"San Diego",1978
"38","Gaslamp Quarter",0,2013-06-01,"San Diego",1962
"39","Gaslamp Quarter",0,2013-05-01,"San Diego",1916
"40","Gaslamp Quarter",0,2013-04-01,"San Diego",1878
"41","Gaslamp Quarter",0,2013-03-01,"San Diego",1859
"42","Gaslamp Quarter",0,2013-02-01,"San Diego",1862
"43","Gaslamp Quarter",0,2013-01-01,"San Diego",1867
"44","Gaslamp Quarter",0,2012-12-01,"San Diego",1879
"45","Gaslamp Quarter",0,2012-11-01,"San Diego",1889
"46","Gaslamp Quarter",0,2012-10-01,"San Diego",1879
"47","Gaslamp Quarter",0,2012-09-01,"San Diego",1867
"48","Gaslamp Quarter",0,2012-08-01,"San Diego",1846
"49","Gaslamp Quarter",0,2012-07-01,"San Diego",1830
"50","Gaslamp Quarter",0,2012-06-01,"San Diego",1814
"51","Gaslamp Quarter",0,2012-05-01,"San Diego",1816
"52","Gaslamp Quarter",0,2012-04-01,"San Diego",1819
"53","Gaslamp Quarter",0,2012-03-01,"San Diego",1830
"54","Gaslamp Quarter",0,2012-02-01,"San Diego",1835
"55","Gaslamp Quarter",0,2012-01-01,"San Diego",1857
"56","Gaslamp Quarter",0,2011-12-01,"San Diego",1876
"57","Gaslamp Quarter",0,2011-11-01,"San Diego",1894
"58","Gaslamp Quarter",0,2011-10-01,"San Diego",1886
"59","Gaslamp Quarter",0,2011-09-01,"San Diego",1900
"60","Gaslamp Quarter",0,2011-08-01,"San Diego",1913
"61","Gaslamp Quarter",0,2011-07-01,"San Diego",1930
"62","Gaslamp Quarter",0,2011-06-01,"San Diego",1934
"63","Gaslamp Quarter",0,2011-05-01,"San Diego",1937
"64","Gaslamp Quarter",0,2011-04-01,"San Diego",1931
"65","Gaslamp Quarter",0,2011-03-01,"San Diego",1929
"66","Gaslamp Quarter",0,2011-02-01,"San Diego",1921
"67","Gaslamp Quarter",0,2011-01-01,"San Diego",1902
"68","Gaslamp Quarter",0,2010-12-01,"San Diego",1869
"69","Gaslamp Quarter",0,2010-11-01,"San Diego",1840
"70","Rancho Encantado",0,2016-07-01,"San Diego",5207
"71","Rancho Encantado",0,2016-06-01,"San Diego",5184
"72","Rancho Encantado",0,2016-05-01,"San Diego",5149
"73","Rancho Encantado",0,2016-04-01,"San Diego",5102
"74","Rancho Encantado",0,2016-03-01,"San Diego",5099
"75","Rancho Encantado",0,2016-02-01,"San Diego",5152
"76","Rancho Encantado",0,2016-01-01,"San Diego",5209
"77","Rancho Encantado",0,2015-12-01,"San Diego",5216
"78","Rancho Encantado",0,2015-11-01,"San Diego",5202
"79","Rancho Encantado",0,2015-10-01,"San Diego",5197
"80","Rancho Encantado",0,2015-09-01,"San Diego",5178
"81","Rancho Encantado",0,2015-08-01,"San Diego",5143
