"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Johnston Terrace",0,2017-02-01,"austin",1598
"2","Johnston Terrace",0,2017-01-01,"austin",1594
"3","Johnston Terrace",0,2016-12-01,"austin",1590
"4","Johnston Terrace",0,2016-11-01,"austin",1583
"5","Johnston Terrace",0,2016-10-01,"austin",1577
"6","Johnston Terrace",0,2016-09-01,"austin",1576
"7","Johnston Terrace",0,2016-08-01,"austin",1575
"8","Johnston Terrace",0,2016-07-01,"austin",1575
"9","Johnston Terrace",0,2016-06-01,"austin",1576
"10","Johnston Terrace",0,2016-05-01,"austin",1575
"11","Johnston Terrace",0,2016-04-01,"austin",1566
"12","Johnston Terrace",0,2016-03-01,"austin",1550
"13","Johnston Terrace",0,2016-02-01,"austin",1523
"14","Johnston Terrace",0,2016-01-01,"austin",1503
"15","Johnston Terrace",0,2015-12-01,"austin",1487
"16","Johnston Terrace",0,2015-11-01,"austin",1484
"17","Johnston Terrace",0,2015-10-01,"austin",1479
"18","Johnston Terrace",0,2015-09-01,"austin",1479
"19","Johnston Terrace",0,2015-08-01,"austin",1476
"20","Johnston Terrace",0,2015-07-01,"austin",1476
"21","Johnston Terrace",0,2015-06-01,"austin",1472
"22","Johnston Terrace",0,2015-05-01,"austin",1466
"23","Johnston Terrace",0,2015-04-01,"austin",1451
"24","Johnston Terrace",0,2015-03-01,"austin",1440
"25","Johnston Terrace",0,2015-02-01,"austin",1442
"26","Johnston Terrace",0,2015-01-01,"austin",1446
"27","Johnston Terrace",0,2014-12-01,"austin",1452
"28","Johnston Terrace",0,2014-11-01,"austin",1450
"29","Johnston Terrace",0,2014-10-01,"austin",1436
"30","Johnston Terrace",0,2014-09-01,"austin",1411
"31","Johnston Terrace",0,2014-08-01,"austin",1372
"32","Johnston Terrace",0,2014-07-01,"austin",1339
"33","Johnston Terrace",0,2014-06-01,"austin",1317
"34","Johnston Terrace",0,2014-05-01,"austin",1309
"35","Johnston Terrace",0,2014-04-01,"austin",1306
"36","Johnston Terrace",0,2014-03-01,"austin",1298
"37","Johnston Terrace",0,2014-02-01,"austin",1288
"38","Johnston Terrace",0,2014-01-01,"austin",1276
"39","Johnston Terrace",0,2013-12-01,"austin",1254
"40","Johnston Terrace",0,2013-11-01,"austin",1224
"41","Johnston Terrace",0,2013-10-01,"austin",1196
"42","Johnston Terrace",0,2013-09-01,"austin",1182
"43","Johnston Terrace",0,2013-08-01,"austin",1179
"44","Johnston Terrace",0,2013-07-01,"austin",1173
"45","Johnston Terrace",0,2013-06-01,"austin",1161
"46","Johnston Terrace",0,2013-05-01,"austin",1144
"47","Johnston Terrace",0,2013-04-01,"austin",1139
"48","Johnston Terrace",0,2013-03-01,"austin",1152
"49","Johnston Terrace",0,2013-02-01,"austin",1162
"50","Johnston Terrace",0,2013-01-01,"austin",1160
"51","Johnston Terrace",0,2012-12-01,"austin",1154
"52","Johnston Terrace",0,2012-11-01,"austin",1153
"53","Johnston Terrace",0,2012-10-01,"austin",1161
"54","Johnston Terrace",0,2012-09-01,"austin",1165
"55","Johnston Terrace",0,2012-08-01,"austin",1168
"56","Johnston Terrace",0,2012-07-01,"austin",1167
"57","Johnston Terrace",0,2012-06-01,"austin",1168
"58","Johnston Terrace",0,2012-05-01,"austin",1166
"59","Johnston Terrace",0,2012-04-01,"austin",1163
"60","Johnston Terrace",0,2012-03-01,"austin",1151
"61","Johnston Terrace",0,2012-02-01,"austin",1141
"62","Johnston Terrace",0,2012-01-01,"austin",1137
"63","Johnston Terrace",0,2011-12-01,"austin",1140
"64","Johnston Terrace",0,2011-11-01,"austin",1139
"65","Johnston Terrace",0,2011-10-01,"austin",1130
"66","Johnston Terrace",0,2011-09-01,"austin",1128
"67","Johnston Terrace",0,2011-08-01,"austin",1130
"68","Johnston Terrace",0,2011-07-01,"austin",1135
"69","Johnston Terrace",0,2011-06-01,"austin",1134
"70","Johnston Terrace",0,2011-05-01,"austin",1130
"71","Johnston Terrace",0,2011-04-01,"austin",1123
"72","Johnston Terrace",0,2011-03-01,"austin",1112
"73","Johnston Terrace",0,2011-02-01,"austin",1098
"74","Johnston Terrace",0,2011-01-01,"austin",1088
"75","Johnston Terrace",0,2010-12-01,"austin",1082
"76","Johnston Terrace",0,2010-11-01,"austin",1081
"77","Chestnut",0,2017-02-01,"austin",1859
"78","Chestnut",0,2017-01-01,"austin",1859
"79","Chestnut",0,2016-12-01,"austin",1858
"80","Chestnut",0,2016-11-01,"austin",1862
"81","Chestnut",0,2016-10-01,"austin",1874
"82","Chestnut",0,2016-09-01,"austin",1883
"83","Chestnut",0,2016-08-01,"austin",1890
"84","Chestnut",0,2016-07-01,"austin",1892
"85","Chestnut",0,2016-06-01,"austin",1890
"86","Chestnut",0,2016-05-01,"austin",1880
"87","Chestnut",0,2016-04-01,"austin",1855
"88","Chestnut",0,2016-03-01,"austin",1849
"89","Chestnut",0,2016-02-01,"austin",1840
"90","Chestnut",0,2016-01-01,"austin",1843
"91","Chestnut",0,2015-12-01,"austin",1836
"92","Chestnut",0,2015-11-01,"austin",1840
"93","Chestnut",0,2015-10-01,"austin",1835
"94","Chestnut",0,2015-09-01,"austin",1829
"95","Chestnut",0,2015-08-01,"austin",1821
"96","Chestnut",0,2015-07-01,"austin",1803
"97","Chestnut",0,2015-06-01,"austin",1772
"98","Chestnut",0,2015-05-01,"austin",1735
"99","Chestnut",0,2015-04-01,"austin",1714
"100","Chestnut",0,2015-03-01,"austin",1694
"101","Chestnut",0,2015-02-01,"austin",1678
"102","Chestnut",0,2015-01-01,"austin",1656
"103","Chestnut",0,2014-12-01,"austin",1651
"104","Chestnut",0,2014-11-01,"austin",1642
"105","Chestnut",0,2014-10-01,"austin",1624
"106","Chestnut",0,2014-09-01,"austin",1597
"107","Chestnut",0,2014-08-01,"austin",1565
"108","Chestnut",0,2014-07-01,"austin",1545
"109","Chestnut",0,2014-06-01,"austin",1541
"110","Chestnut",0,2014-05-01,"austin",1560
"111","Chestnut",0,2014-04-01,"austin",1575
"112","Chestnut",0,2014-03-01,"austin",1573
"113","Chestnut",0,2014-02-01,"austin",1558
"114","Chestnut",0,2014-01-01,"austin",1535
"115","Chestnut",0,2013-12-01,"austin",1507
"116","Chestnut",0,2013-11-01,"austin",1477
"117","Chestnut",0,2013-10-01,"austin",1449
"118","Chestnut",0,2013-09-01,"austin",1437
