"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Bay Village",24,2016-09-01,"Boston",828
"2","Bay Village",23,2016-08-01,"Boston",826
"3","Bay Village",23,2016-07-01,"Boston",828
"4","Bay Village",23,2016-06-01,"Boston",832
"5","Bay Village",21,2016-05-01,"Boston",835
"6","Bay Village",20,2016-04-01,"Boston",829
"7","Bay Village",20,2016-03-01,"Boston",824
"8","Bay Village",20,2016-02-01,"Boston",817
"9","Bay Village",19,2016-01-01,"Boston",821
"10","Bay Village",19,2015-12-01,"Boston",838
"11","Bay Village",19,2015-11-01,"Boston",859
"12","Bay Village",19,2015-10-01,"Boston",880
"13","Bay Village",19,2015-09-01,"Boston",890
"14","Bay Village",18,2015-08-01,"Boston",898
"15","Bay Village",18,2015-07-01,"Boston",901
"16","Bay Village",18,2015-06-01,"Boston",901
"17","Bay Village",18,2015-05-01,"Boston",900
"18","Bay Village",17,2015-04-01,"Boston",909
"19","Bay Village",16,2015-03-01,"Boston",916
"20","Bay Village",15,2015-02-01,"Boston",905
"21","Bay Village",14,2015-01-01,"Boston",902
"22","Bay Village",13,2014-12-01,"Boston",898
"23","Bay Village",13,2014-11-01,"Boston",897
"24","Bay Village",12,2014-10-01,"Boston",898
"25","Bay Village",10,2014-09-01,"Boston",896
"26","Bay Village",10,2014-08-01,"Boston",893
"27","Bay Village",10,2014-07-01,"Boston",881
"28","Bay Village",10,2014-06-01,"Boston",878
"29","Bay Village",9,2014-05-01,"Boston",872
"30","Bay Village",9,2014-04-01,"Boston",879
"31","Bay Village",9,2014-03-01,"Boston",887
"32","Bay Village",9,2014-02-01,"Boston",892
"33","Bay Village",9,2014-01-01,"Boston",882
"34","Bay Village",6,2013-12-01,"Boston",868
"35","Bay Village",6,2013-11-01,"Boston",850
"36","Bay Village",6,2013-10-01,"Boston",849
"37","Bay Village",6,2013-09-01,"Boston",840
"38","Bay Village",6,2013-08-01,"Boston",833
"39","Bay Village",6,2013-07-01,"Boston",823
"40","Bay Village",6,2013-06-01,"Boston",830
"41","Bay Village",6,2013-05-01,"Boston",839
"42","Bay Village",6,2013-04-01,"Boston",837
"43","Bay Village",6,2013-03-01,"Boston",815
"44","Bay Village",6,2013-02-01,"Boston",804
"45","Bay Village",6,2013-01-01,"Boston",787
"46","Bay Village",6,2012-12-01,"Boston",760
"47","Bay Village",6,2012-11-01,"Boston",736
"48","Bay Village",6,2012-10-01,"Boston",741
"49","Bay Village",6,2012-09-01,"Boston",768
"50","Bay Village",6,2012-08-01,"Boston",777
"51","Bay Village",6,2012-07-01,"Boston",781
"52","Bay Village",6,2012-06-01,"Boston",742
"53","Bay Village",2,2012-05-01,"Boston",707
"54","Bay Village",2,2012-04-01,"Boston",666
"55","Bay Village",2,2012-03-01,"Boston",658
"56","Bay Village",2,2012-02-01,"Boston",652
"57","Bay Village",2,2012-01-01,"Boston",636
"58","Bay Village",2,2011-12-01,"Boston",621
"59","Bay Village",2,2011-11-01,"Boston",608
"60","Bay Village",2,2011-10-01,"Boston",593
"61","Bay Village",1,2011-09-01,"Boston",556
"62","Bay Village",1,2011-08-01,"Boston",532
"63","Bay Village",1,2011-07-01,"Boston",531
"64","Bay Village",1,2011-06-01,"Boston",542
"65","Bay Village",1,2011-05-01,"Boston",550
"66","Bay Village",0,2011-04-01,"Boston",553
"67","Bay Village",0,2011-03-01,"Boston",554
"68","Bay Village",0,2011-02-01,"Boston",584
"69","Bay Village",0,2011-01-01,"Boston",601
"70","Bay Village",0,2010-12-01,"Boston",616
"71","Bay Village",0,2010-11-01,"Boston",619
"72","Downtown",172,2016-09-01,"Boston",962
"73","Downtown",170,2016-08-01,"Boston",971
"74","Downtown",164,2016-07-01,"Boston",981
"75","Downtown",164,2016-06-01,"Boston",988
"76","Downtown",161,2016-05-01,"Boston",991
"77","Downtown",160,2016-04-01,"Boston",990
"78","Downtown",160,2016-03-01,"Boston",987
"79","Downtown",159,2016-02-01,"Boston",987
"80","Downtown",154,2016-01-01,"Boston",985
"81","Downtown",154,2015-12-01,"Boston",982
"82","Downtown",152,2015-11-01,"Boston",979
"83","Downtown",147,2015-10-01,"Boston",980
"84","Downtown",141,2015-09-01,"Boston",978
"85","Downtown",138,2015-08-01,"Boston",976
"86","Downtown",135,2015-07-01,"Boston",968
"87","Downtown",134,2015-06-01,"Boston",969
"88","Downtown",133,2015-05-01,"Boston",964
"89","Downtown",128,2015-04-01,"Boston",963
