"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Groveland Park",0,2015-10-01,"Chicago",1307
"2","Groveland Park",0,2015-09-01,"Chicago",1311
"3","Groveland Park",0,2015-08-01,"Chicago",1318
"4","Groveland Park",0,2015-07-01,"Chicago",1333
"5","Groveland Park",0,2015-06-01,"Chicago",1335
"6","Groveland Park",0,2015-05-01,"Chicago",1339
"7","Groveland Park",0,2015-04-01,"Chicago",1345
"8","Groveland Park",0,2015-03-01,"Chicago",1366
"9","Groveland Park",0,2015-02-01,"Chicago",1391
"10","Groveland Park",0,2015-01-01,"Chicago",1402
"11","Groveland Park",0,2014-12-01,"Chicago",1400
"12","Groveland Park",0,2014-11-01,"Chicago",1399
"13","Groveland Park",0,2014-10-01,"Chicago",1415
"14","Groveland Park",0,2014-09-01,"Chicago",1418
"15","Groveland Park",0,2014-08-01,"Chicago",1404
"16","Groveland Park",0,2014-07-01,"Chicago",1369
"17","Groveland Park",0,2014-06-01,"Chicago",1350
"18","Groveland Park",0,2014-05-01,"Chicago",1352
"19","Groveland Park",0,2014-04-01,"Chicago",1352
"20","Groveland Park",0,2014-03-01,"Chicago",1364
"21","Groveland Park",0,2014-02-01,"Chicago",1378
"22","Groveland Park",0,2014-01-01,"Chicago",1398
"23","Groveland Park",0,2013-12-01,"Chicago",1397
"24","Groveland Park",0,2013-11-01,"Chicago",1392
"25","Groveland Park",0,2013-10-01,"Chicago",1377
"26","Groveland Park",0,2013-09-01,"Chicago",1361
"27","Groveland Park",0,2013-08-01,"Chicago",1361
"28","Groveland Park",0,2013-07-01,"Chicago",1371
"29","Groveland Park",0,2013-06-01,"Chicago",1387
"30","Groveland Park",0,2013-05-01,"Chicago",1382
"31","Groveland Park",0,2013-04-01,"Chicago",1383
"32","Groveland Park",0,2013-03-01,"Chicago",1360
"33","Groveland Park",0,2013-02-01,"Chicago",1346
"34","Groveland Park",0,2013-01-01,"Chicago",1328
"35","Groveland Park",0,2012-12-01,"Chicago",1343
"36","Groveland Park",0,2012-11-01,"Chicago",1365
"37","Groveland Park",0,2012-10-01,"Chicago",1382
"38","Groveland Park",0,2012-09-01,"Chicago",1378
"39","Groveland Park",0,2012-08-01,"Chicago",1375
"40","Groveland Park",0,2012-07-01,"Chicago",1374
"41","Groveland Park",0,2012-06-01,"Chicago",1370
"42","Groveland Park",0,2012-05-01,"Chicago",1371
"43","Groveland Park",0,2012-04-01,"Chicago",1375
"44","Groveland Park",0,2012-03-01,"Chicago",1379
"45","Groveland Park",0,2012-02-01,"Chicago",1383
"46","Groveland Park",0,2012-01-01,"Chicago",1366
"47","Groveland Park",0,2011-12-01,"Chicago",1348
"48","Groveland Park",0,2011-11-01,"Chicago",1326
"49","Groveland Park",0,2011-10-01,"Chicago",1311
"50","Groveland Park",0,2011-09-01,"Chicago",1321
"51","Groveland Park",0,2011-08-01,"Chicago",1332
"52","Groveland Park",0,2011-07-01,"Chicago",1354
"53","Groveland Park",0,2011-06-01,"Chicago",1369
"54","Groveland Park",0,2011-05-01,"Chicago",1375
"55","Groveland Park",0,2011-04-01,"Chicago",1374
"56","Groveland Park",0,2011-03-01,"Chicago",1365
"57","Groveland Park",0,2011-02-01,"Chicago",1371
"58","Groveland Park",0,2011-01-01,"Chicago",1389
"59","Groveland Park",0,2010-12-01,"Chicago",1410
"60","Groveland Park",0,2010-11-01,"Chicago",1410
"61","Schorsch Forest View",0,2015-10-01,"Chicago",1854
"62","Schorsch Forest View",0,2015-09-01,"Chicago",1857
"63","Schorsch Forest View",0,2015-08-01,"Chicago",1860
"64","Schorsch Forest View",0,2015-07-01,"Chicago",1858
"65","Schorsch Forest View",0,2015-06-01,"Chicago",1848
"66","Schorsch Forest View",0,2015-05-01,"Chicago",1844
"67","Schorsch Forest View",0,2015-04-01,"Chicago",1842
"68","Schorsch Forest View",0,2015-03-01,"Chicago",1843
"69","Schorsch Forest View",0,2015-02-01,"Chicago",1819
"70","Schorsch Forest View",0,2015-01-01,"Chicago",1807
"71","Schorsch Forest View",0,2014-12-01,"Chicago",1794
"72","Schorsch Forest View",0,2014-11-01,"Chicago",1790
"73","Schorsch Forest View",0,2014-10-01,"Chicago",1784
"74","Schorsch Forest View",0,2014-09-01,"Chicago",1776
"75","Schorsch Forest View",0,2014-08-01,"Chicago",1763
"76","Schorsch Forest View",0,2014-07-01,"Chicago",1749
"77","Schorsch Forest View",0,2014-06-01,"Chicago",1737
"78","Schorsch Forest View",0,2014-05-01,"Chicago",1721
"79","Schorsch Forest View",0,2014-04-01,"Chicago",1710
"80","Schorsch Forest View",0,2014-03-01,"Chicago",1718
"81","Schorsch Forest View",0,2014-02-01,"Chicago",1743
"82","Schorsch Forest View",0,2014-01-01,"Chicago",1753
"83","Schorsch Forest View",0,2013-12-01,"Chicago",1753
"84","Schorsch Forest View",0,2013-11-01,"Chicago",1751
"85","Schorsch Forest View",0,2013-10-01,"Chicago",1750
"86","Schorsch Forest View",0,2013-09-01,"Chicago",1747
"87","Schorsch Forest View",0,2013-08-01,"Chicago",1738
"88","Schorsch Forest View",0,2013-07-01,"Chicago",1727
"89","Schorsch Forest View",0,2013-06-01,"Chicago",1717
"90","Schorsch Forest View",0,2013-05-01,"Chicago",1711
"91","Schorsch Forest View",0,2013-04-01,"Chicago",1696
"92","Schorsch Forest View",0,2013-03-01,"Chicago",1673
"93","Schorsch Forest View",0,2013-02-01,"Chicago",1649
"94","Schorsch Forest View",0,2013-01-01,"Chicago",1639
"95","Schorsch Forest View",0,2012-12-01,"Chicago",1640
"96","Schorsch Forest View",0,2012-11-01,"Chicago",1635
"97","Schorsch Forest View",0,2012-10-01,"Chicago",1620
"98","Schorsch Forest View",0,2012-09-01,"Chicago",1608
"99","Schorsch Forest View",0,2012-08-01,"Chicago",1612
"100","Schorsch Forest View",0,2012-07-01,"Chicago",1622
"101","Schorsch Forest View",0,2012-06-01,"Chicago",1628
"102","Schorsch Forest View",0,2012-05-01,"Chicago",1617
"103","Schorsch Forest View",0,2012-04-01,"Chicago",1609
"104","Schorsch Forest View",0,2012-03-01,"Chicago",1591
"105","Schorsch Forest View",0,2012-02-01,"Chicago",1591
"106","Schorsch Forest View",0,2012-01-01,"Chicago",1598
"107","Schorsch Forest View",0,2011-12-01,"Chicago",1614
"108","Schorsch Forest View",0,2011-11-01,"Chicago",1624
"109","Schorsch Forest View",0,2011-10-01,"Chicago",1619
"110","Schorsch Forest View",0,2011-09-01,"Chicago",1617
"111","Schorsch Forest View",0,2011-08-01,"Chicago",1611
"112","Schorsch Forest View",0,2011-07-01,"Chicago",1610
"113","Schorsch Forest View",0,2011-06-01,"Chicago",1613
"114","Schorsch Forest View",0,2011-05-01,"Chicago",1627
"115","Schorsch Forest View",0,2011-04-01,"Chicago",1646
"116","Schorsch Forest View",0,2011-03-01,"Chicago",1672
"117","Schorsch Forest View",0,2011-02-01,"Chicago",1694
"118","Schorsch Forest View",0,2011-01-01,"Chicago",1708
"119","Schorsch Forest View",0,2010-12-01,"Chicago",1704
"120","Schorsch Forest View",0,2010-11-01,"Chicago",1685
"121","Forest Glen",2,2015-10-01,"Chicago",1977
"122","Forest Glen",2,2015-09-01,"Chicago",1978
"123","Forest Glen",2,2015-08-01,"Chicago",1982
"124","Forest Glen",2,2015-07-01,"Chicago",1979
"125","Forest Glen",2,2015-06-01,"Chicago",1963
"126","Forest Glen",2,2015-05-01,"Chicago",1967
"127","Forest Glen",2,2015-04-01,"Chicago",1960
"128","Forest Glen",2,2015-03-01,"Chicago",1954
"129","Forest Glen",2,2015-02-01,"Chicago",1905
"130","Forest Glen",2,2015-01-01,"Chicago",1896
"131","Forest Glen",2,2014-12-01,"Chicago",1870
"132","Forest Glen",2,2014-11-01,"Chicago",1854
"133","Forest Glen",2,2014-10-01,"Chicago",1836
"134","Forest Glen",2,2014-09-01,"Chicago",1817
"135","Forest Glen",2,2014-08-01,"Chicago",1803
"136","Forest Glen",2,2014-07-01,"Chicago",1775
"137","Forest Glen",2,2014-06-01,"Chicago",1779
"138","Forest Glen",2,2014-05-01,"Chicago",1762
"139","Forest Glen",2,2014-04-01,"Chicago",1786
"140","Forest Glen",2,2014-03-01,"Chicago",1788
"141","Forest Glen",2,2014-02-01,"Chicago",1834
"142","Forest Glen",2,2014-01-01,"Chicago",1822
"143","Forest Glen",2,2013-12-01,"Chicago",1820
"144","Forest Glen",2,2013-11-01,"Chicago",1827
"145","Forest Glen",2,2013-10-01,"Chicago",1838
"146","Forest Glen",2,2013-09-01,"Chicago",1853
"147","Forest Glen",2,2013-08-01,"Chicago",1851
"148","Forest Glen",2,2013-07-01,"Chicago",1850
"149","Forest Glen",2,2013-06-01,"Chicago",1846
"150","Forest Glen",2,2013-05-01,"Chicago",1841
"151","Forest Glen",2,2013-04-01,"Chicago",1800
"152","Forest Glen",2,2013-03-01,"Chicago",1760
"153","Forest Glen",2,2013-02-01,"Chicago",1735
"154","Forest Glen",2,2013-01-01,"Chicago",1737
"155","Forest Glen",2,2012-12-01,"Chicago",1743
"156","Forest Glen",2,2012-11-01,"Chicago",1726
"157","Forest Glen",2,2012-10-01,"Chicago",1706
"158","Forest Glen",2,2012-09-01,"Chicago",1697
"159","Forest Glen",2,2012-08-01,"Chicago",1704
"160","Forest Glen",0,2012-07-01,"Chicago",1724
"161","Forest Glen",0,2012-06-01,"Chicago",1716
"162","Forest Glen",0,2012-05-01,"Chicago",1705
"163","Forest Glen",0,2012-04-01,"Chicago",1700
"164","Forest Glen",0,2012-03-01,"Chicago",1710
"165","Forest Glen",0,2012-02-01,"Chicago",1733
"166","Forest Glen",0,2012-01-01,"Chicago",1742
"167","Forest Glen",0,2011-12-01,"Chicago",1758
"168","Forest Glen",0,2011-11-01,"Chicago",1767
"169","Forest Glen",0,2011-10-01,"Chicago",1767
"170","Forest Glen",0,2011-09-01,"Chicago",1758
"171","Forest Glen",0,2011-08-01,"Chicago",1748
"172","Forest Glen",0,2011-07-01,"Chicago",1752
"173","Forest Glen",0,2011-06-01,"Chicago",1763
"174","Forest Glen",0,2011-05-01,"Chicago",1775
"175","Forest Glen",0,2011-04-01,"Chicago",1793
"176","Forest Glen",0,2011-03-01,"Chicago",1817
"177","Forest Glen",0,2011-02-01,"Chicago",1837
"178","Forest Glen",0,2011-01-01,"Chicago",1851
"179","Forest Glen",0,2010-12-01,"Chicago",1851
"180","Forest Glen",0,2010-11-01,"Chicago",1837
"181","Greektown",0,2015-10-01,"Chicago",1857
"182","Greektown",0,2015-09-01,"Chicago",1852
"183","Greektown",0,2015-08-01,"Chicago",1867
"184","Greektown",0,2015-07-01,"Chicago",1867
"185","Greektown",0,2015-06-01,"Chicago",1874
"186","Greektown",0,2015-05-01,"Chicago",1861
"187","Greektown",0,2015-04-01,"Chicago",1869
"188","Greektown",0,2015-03-01,"Chicago",1869
"189","Greektown",0,2015-02-01,"Chicago",1882
"190","Greektown",0,2015-01-01,"Chicago",1889
"191","Greektown",0,2014-12-01,"Chicago",1885
"192","Greektown",0,2014-11-01,"Chicago",1868
"193","Greektown",0,2014-10-01,"Chicago",1834
"194","Greektown",0,2014-09-01,"Chicago",1833
"195","Greektown",0,2014-08-01,"Chicago",1821
"196","Greektown",0,2014-07-01,"Chicago",1827
"197","Greektown",0,2014-06-01,"Chicago",1798
"198","Greektown",0,2014-05-01,"Chicago",1800
"199","Greektown",0,2014-04-01,"Chicago",1806
"200","Greektown",0,2014-03-01,"Chicago",1825
"201","Greektown",0,2014-02-01,"Chicago",1829
"202","Greektown",0,2014-01-01,"Chicago",1818
"203","Greektown",0,2013-12-01,"Chicago",1801
"204","Greektown",0,2013-11-01,"Chicago",1817
"205","Greektown",0,2013-10-01,"Chicago",1835
"206","Greektown",0,2013-09-01,"Chicago",1826
"207","Greektown",0,2013-08-01,"Chicago",1786
"208","Greektown",0,2013-07-01,"Chicago",1746
"209","Greektown",0,2013-06-01,"Chicago",1732
"210","Greektown",0,2013-05-01,"Chicago",1733
