"","Neighborhood","Airbnb","Date","City","ZRI"
"1","DIA",1,2016-05-01,"Denver",617
"2","DIA",1,2016-04-01,"Denver",613
"3","DIA",1,2016-03-01,"Denver",593
"4","DIA",1,2016-02-01,"Denver",565
"5","DIA",1,2016-01-01,"Denver",541
"6","DIA",1,2015-12-01,"Denver",526
"7","DIA",1,2015-11-01,"Denver",521
"8","DIA",0,2015-10-01,"Denver",510
"9","DIA",0,2015-09-01,"Denver",499
"10","DIA",0,2015-08-01,"Denver",486
"11","DIA",0,2015-07-01,"Denver",468
"12","DIA",0,2015-06-01,"Denver",449
"13","DIA",0,2015-05-01,"Denver",417
"14","DIA",0,2015-04-01,"Denver",385
"15","DIA",0,2015-03-01,"Denver",362
"16","DIA",0,2015-02-01,"Denver",354
"17","DIA",0,2015-01-01,"Denver",358
"18","DIA",0,2014-12-01,"Denver",360
"19","DIA",0,2014-11-01,"Denver",355
"20","DIA",0,2014-10-01,"Denver",331
"21","DIA",0,2014-09-01,"Denver",302
"22","DIA",0,2014-08-01,"Denver",288
"23","DIA",0,2014-07-01,"Denver",281
"24","DIA",0,2014-06-01,"Denver",277
"25","DIA",0,2014-05-01,"Denver",275
"26","DIA",0,2014-04-01,"Denver",278
"27","DIA",0,2014-03-01,"Denver",288
"28","DIA",0,2014-02-01,"Denver",294
"29","DIA",0,2014-01-01,"Denver",286
"30","DIA",0,2013-12-01,"Denver",272
"31","DIA",0,2013-11-01,"Denver",250
"32","DIA",0,2013-10-01,"Denver",230
"33","DIA",0,2013-09-01,"Denver",223
"34","DIA",0,2013-08-01,"Denver",218
"35","DIA",0,2013-07-01,"Denver",215
"36","DIA",0,2013-06-01,"Denver",205
"37","DIA",0,2013-05-01,"Denver",193
"38","DIA",0,2013-04-01,"Denver",182
"39","DIA",0,2013-03-01,"Denver",168
"40","DIA",0,2013-02-01,"Denver",165
"41","DIA",0,2013-01-01,"Denver",164
"42","DIA",0,2012-12-01,"Denver",169
"43","DIA",0,2012-11-01,"Denver",164
"44","DIA",0,2012-10-01,"Denver",147
"45","DIA",0,2012-09-01,"Denver",133
"46","DIA",0,2012-08-01,"Denver",110
"47","DIA",0,2012-07-01,"Denver",91
"48","DIA",0,2012-06-01,"Denver",78
"49","DIA",0,2012-05-01,"Denver",80
"50","DIA",0,2012-04-01,"Denver",84
"51","DIA",0,2012-03-01,"Denver",93
"52","DIA",0,2012-02-01,"Denver",101
"53","DIA",0,2012-01-01,"Denver",107
"54","DIA",0,2011-12-01,"Denver",103
"55","DIA",0,2011-11-01,"Denver",97
"56","DIA",0,2011-10-01,"Denver",83
"57","DIA",0,2011-09-01,"Denver",80
"58","DIA",0,2011-08-01,"Denver",76
"59","DIA",0,2011-07-01,"Denver",73
"60","DIA",0,2011-06-01,"Denver",70
"61","DIA",0,2011-05-01,"Denver",67
"62","DIA",0,2011-04-01,"Denver",56
"63","DIA",0,2011-03-01,"Denver",40
"64","DIA",0,2011-02-01,"Denver",17
"65","DIA",0,2011-01-01,"Denver",1810
"66","DIA",0,2010-12-01,"Denver",1797
"67","DIA",0,2010-11-01,"Denver",1793
"68","Stapleton",34,2016-05-01,"Denver",1422
"69","Stapleton",32,2016-04-01,"Denver",1421
"70","Stapleton",30,2016-03-01,"Denver",1426
"71","Stapleton",30,2016-02-01,"Denver",1434
"72","Stapleton",29,2016-01-01,"Denver",1438
"73","Stapleton",28,2015-12-01,"Denver",1441
"74","Stapleton",27,2015-11-01,"Denver",1434
"75","Stapleton",27,2015-10-01,"Denver",1411
"76","Stapleton",26,2015-09-01,"Denver",1395
"77","Stapleton",24,2015-08-01,"Denver",1380
"78","Stapleton",22,2015-07-01,"Denver",1356
"79","Stapleton",20,2015-06-01,"Denver",1322
"80","Stapleton",20,2015-05-01,"Denver",1283
"81","Stapleton",19,2015-04-01,"Denver",1251
"82","Stapleton",19,2015-03-01,"Denver",1242
"83","Stapleton",19,2015-02-01,"Denver",1241
"84","Stapleton",19,2015-01-01,"Denver",1242
"85","Stapleton",18,2014-12-01,"Denver",1238
"86","Stapleton",17,2014-11-01,"Denver",1240
"87","Stapleton",17,2014-10-01,"Denver",1220
"88","Stapleton",16,2014-09-01,"Denver",1207
"89","Stapleton",14,2014-08-01,"Denver",1176
"90","Stapleton",12,2014-07-01,"Denver",1145
"91","Stapleton",11,2014-06-01,"Denver",1122
"92","Stapleton",11,2014-05-01,"Denver",1108
"93","Stapleton",11,2014-04-01,"Denver",1106
"94","Stapleton",11,2014-03-01,"Denver",1098
"95","Stapleton",11,2014-02-01,"Denver",1104
"96","Stapleton",9,2014-01-01,"Denver",1087
"97","Stapleton",9,2013-12-01,"Denver",1066
"98","Stapleton",8,2013-11-01,"Denver",1035
"99","Stapleton",8,2013-10-01,"Denver",993
"100","Stapleton",8,2013-09-01,"Denver",976
"101","Stapleton",8,2013-08-01,"Denver",965
"102","Stapleton",7,2013-07-01,"Denver",962
"103","Stapleton",7,2013-06-01,"Denver",962
"104","Stapleton",7,2013-05-01,"Denver",958
"105","Stapleton",7,2013-04-01,"Denver",943
"106","Stapleton",6,2013-03-01,"Denver",911
"107","Stapleton",6,2013-02-01,"Denver",877
"108","Stapleton",5,2013-01-01,"Denver",835
"109","Stapleton",5,2012-12-01,"Denver",816
"110","Stapleton",5,2012-11-01,"Denver",820
"111","Stapleton",5,2012-10-01,"Denver",815
"112","Stapleton",5,2012-09-01,"Denver",811
"113","Stapleton",4,2012-08-01,"Denver",791
"114","Stapleton",4,2012-07-01,"Denver",767
"115","Stapleton",3,2012-06-01,"Denver",748
"116","Stapleton",2,2012-05-01,"Denver",741
"117","Stapleton",2,2012-04-01,"Denver",729
"118","Stapleton",1,2012-03-01,"Denver",708
"119","Stapleton",1,2012-02-01,"Denver",669
"120","Stapleton",1,2012-01-01,"Denver",626
"121","Stapleton",0,2011-12-01,"Denver",593
"122","Stapleton",0,2011-11-01,"Denver",580
"123","Stapleton",0,2011-10-01,"Denver",566
"124","Stapleton",0,2011-09-01,"Denver",581
"125","Stapleton",0,2011-08-01,"Denver",627
"126","Stapleton",0,2011-07-01,"Denver",655
"127","Stapleton",0,2011-06-01,"Denver",669
"128","Stapleton",0,2011-05-01,"Denver",661
"129","Stapleton",0,2011-04-01,"Denver",653
"130","Stapleton",0,2011-03-01,"Denver",651
"131","Stapleton",0,2011-02-01,"Denver",655
"132","Stapleton",0,2011-01-01,"Denver",651
"133","Stapleton",0,2010-12-01,"Denver",628
"134","Stapleton",0,2010-11-01,"Denver",583
"135","Civic Center",13,2016-05-01,"Denver",1249
"136","Civic Center",13,2016-04-01,"Denver",1240
"137","Civic Center",13,2016-03-01,"Denver",1223
"138","Civic Center",13,2016-02-01,"Denver",1227
"139","Civic Center",13,2016-01-01,"Denver",1224
"140","Civic Center",13,2015-12-01,"Denver",1235
"141","Civic Center",12,2015-11-01,"Denver",1243
"142","Civic Center",12,2015-10-01,"Denver",1247
"143","Civic Center",11,2015-09-01,"Denver",1253
"144","Civic Center",10,2015-08-01,"Denver",1266
"145","Civic Center",10,2015-07-01,"Denver",1272
"146","Civic Center",10,2015-06-01,"Denver",1257
"147","Civic Center",10,2015-05-01,"Denver",1246
"148","Civic Center",9,2015-04-01,"Denver",1227
"149","Civic Center",8,2015-03-01,"Denver",1215
"150","Civic Center",7,2015-02-01,"Denver",1217
"151","Civic Center",7,2015-01-01,"Denver",1195
"152","Civic Center",6,2014-12-01,"Denver",1165
"153","Civic Center",6,2014-11-01,"Denver",1127
"154","Civic Center",6,2014-10-01,"Denver",1086
"155","Civic Center",6,2014-09-01,"Denver",1068
"156","Civic Center",6,2014-08-01,"Denver",1061
"157","Civic Center",6,2014-07-01,"Denver",1060
"158","Civic Center",6,2014-06-01,"Denver",1053
"159","Civic Center",6,2014-05-01,"Denver",1051
"160","Civic Center",6,2014-04-01,"Denver",1049
"161","Civic Center",5,2014-03-01,"Denver",1039
"162","Civic Center",5,2014-02-01,"Denver",1040
"163","Civic Center",5,2014-01-01,"Denver",1033
"164","Civic Center",5,2013-12-01,"Denver",1026
"165","Civic Center",5,2013-11-01,"Denver",1001
"166","Civic Center",5,2013-10-01,"Denver",960
"167","Civic Center",4,2013-09-01,"Denver",924
"168","Civic Center",4,2013-08-01,"Denver",905
"169","Civic Center",4,2013-07-01,"Denver",897
"170","Civic Center",4,2013-06-01,"Denver",919
"171","Civic Center",3,2013-05-01,"Denver",939
"172","Civic Center",2,2013-04-01,"Denver",939
"173","Civic Center",2,2013-03-01,"Denver",931
"174","Civic Center",2,2013-02-01,"Denver",930
"175","Civic Center",2,2013-01-01,"Denver",912
"176","Civic Center",2,2012-12-01,"Denver",884
"177","Civic Center",2,2012-11-01,"Denver",867
"178","Civic Center",2,2012-10-01,"Denver",867
"179","Civic Center",2,2012-09-01,"Denver",859
"180","Civic Center",2,2012-08-01,"Denver",835
"181","Civic Center",0,2012-07-01,"Denver",819
"182","Civic Center",0,2012-06-01,"Denver",805
"183","Civic Center",0,2012-05-01,"Denver",790
