,Neighborhood,Airbnb,Date,City,ZRI
3,Lake Balboa,30,12/1/2016,la,2658
4,Lake Balboa,30,11/1/2016,la,2643
5,Lake Balboa,29,10/1/2016,la,2632
6,Lake Balboa,28,9/1/2016,la,2631
7,Lake Balboa,28,8/1/2016,la,2628
8,Lake Balboa,27,7/1/2016,la,2621
9,Lake Balboa,27,6/1/2016,la,2607
10,Lake Balboa,27,5/1/2016,la,2583
11,Lake Balboa,27,4/1/2016,la,2557
12,Lake Balboa,27,3/1/2016,la,2545
13,Lake Balboa,26,2/1/2016,la,2534
14,Lake Balboa,26,1/1/2016,la,2521
79,Playa Vista,63,12/1/2016,la,3795
80,Playa Vista,63,11/1/2016,la,3801
81,Playa Vista,62,10/1/2016,la,3782
82,Playa Vista,61,9/1/2016,la,3773
83,Playa Vista,56,8/1/2016,la,3776
84,Playa Vista,56,7/1/2016,la,3777
85,Playa Vista,56,6/1/2016,la,3766
86,Playa Vista,51,5/1/2016,la,3731
87,Playa Vista,49,4/1/2016,la,3692
88,Playa Vista,49,3/1/2016,la,3654
89,Playa Vista,49,2/1/2016,la,3649
90,Playa Vista,49,1/1/2016,la,3615
155,La Tuna Canyon,0,12/1/2016,la,2933
156,La Tuna Canyon,0,11/1/2016,la,2893
157,La Tuna Canyon,0,10/1/2016,la,2861
158,La Tuna Canyon,0,9/1/2016,la,2838
159,La Tuna Canyon,0,8/1/2016,la,2819
160,La Tuna Canyon,0,7/1/2016,la,2798
161,La Tuna Canyon,0,6/1/2016,la,2778
162,La Tuna Canyon,0,5/1/2016,la,2755
163,La Tuna Canyon,0,4/1/2016,la,2738
164,La Tuna Canyon,0,3/1/2016,la,2710
165,La Tuna Canyon,0,2/1/2016,la,2673
166,La Tuna Canyon,0,1/1/2016,la,2645
231,Hermon,0,12/1/2016,la,2475
232,Hermon,0,11/1/2016,la,2448
233,Hermon,0,10/1/2016,la,2425
234,Hermon,0,9/1/2016,la,2421
235,Hermon,0,8/1/2016,la,2420
236,Hermon,0,7/1/2016,la,2421
237,Hermon,0,6/1/2016,la,2416
238,Hermon,0,5/1/2016,la,2406
239,Hermon,0,4/1/2016,la,2382
240,Hermon,0,3/1/2016,la,2372
241,Hermon,0,2/1/2016,la,2353
242,Hermon,0,1/1/2016,la,2349
307,Shadow Hills,16,12/1/2016,la,3216
308,Shadow Hills,16,11/1/2016,la,3223
