"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Lake Balboa",30,2017-02-01,"Los Angeles",1094
"2","Lake Balboa",30,2017-01-01,"Los Angeles",1096
"3","Lake Balboa",30,2016-12-01,"Los Angeles",1090
"4","Lake Balboa",30,2016-11-01,"Los Angeles",1075
"5","Lake Balboa",29,2016-10-01,"Los Angeles",1067
"6","Lake Balboa",28,2016-09-01,"Los Angeles",1066
"7","Lake Balboa",28,2016-08-01,"Los Angeles",1063
"8","Lake Balboa",27,2016-07-01,"Los Angeles",1056
"9","Lake Balboa",27,2016-06-01,"Los Angeles",1042
"10","Lake Balboa",27,2016-05-01,"Los Angeles",1018
"11","Lake Balboa",27,2016-04-01,"Los Angeles",993
"12","Lake Balboa",27,2016-03-01,"Los Angeles",982
"13","Lake Balboa",26,2016-02-01,"Los Angeles",971
"14","Lake Balboa",26,2016-01-01,"Los Angeles",958
"15","Lake Balboa",26,2015-12-01,"Los Angeles",939
"16","Lake Balboa",26,2015-11-01,"Los Angeles",929
"17","Lake Balboa",25,2015-10-01,"Los Angeles",925
"18","Lake Balboa",25,2015-09-01,"Los Angeles",918
"19","Lake Balboa",24,2015-08-01,"Los Angeles",909
"20","Lake Balboa",22,2015-07-01,"Los Angeles",898
"21","Lake Balboa",19,2015-06-01,"Los Angeles",890
"22","Lake Balboa",19,2015-05-01,"Los Angeles",879
"23","Lake Balboa",18,2015-04-01,"Los Angeles",867
"24","Lake Balboa",18,2015-03-01,"Los Angeles",847
"25","Lake Balboa",18,2015-02-01,"Los Angeles",825
"26","Lake Balboa",17,2015-01-01,"Los Angeles",801
"27","Lake Balboa",17,2014-12-01,"Los Angeles",782
"28","Lake Balboa",17,2014-11-01,"Los Angeles",763
"29","Lake Balboa",17,2014-10-01,"Los Angeles",746
"30","Lake Balboa",14,2014-09-01,"Los Angeles",729
"31","Lake Balboa",14,2014-08-01,"Los Angeles",720
"32","Lake Balboa",13,2014-07-01,"Los Angeles",710
"33","Lake Balboa",13,2014-06-01,"Los Angeles",702
"34","Lake Balboa",13,2014-05-01,"Los Angeles",700
"35","Lake Balboa",12,2014-04-01,"Los Angeles",699
"36","Lake Balboa",12,2014-03-01,"Los Angeles",697
"37","Lake Balboa",12,2014-02-01,"Los Angeles",696
"38","Lake Balboa",12,2014-01-01,"Los Angeles",702
"39","Lake Balboa",9,2013-12-01,"Los Angeles",709
"40","Lake Balboa",9,2013-11-01,"Los Angeles",706
"41","Lake Balboa",9,2013-10-01,"Los Angeles",691
"42","Lake Balboa",9,2013-09-01,"Los Angeles",677
"43","Lake Balboa",9,2013-08-01,"Los Angeles",660
"44","Lake Balboa",9,2013-07-01,"Los Angeles",652
"45","Lake Balboa",8,2013-06-01,"Los Angeles",643
"46","Lake Balboa",8,2013-05-01,"Los Angeles",635
