,Neighborhood,Airbnb,Date,City,ZRI
3,Willowbrook,0,2016-12-01,New York,2080
4,Willowbrook,0,2016-11-01,New York,2073
5,Willowbrook,0,2016-10-01,New York,2077
6,Willowbrook,0,2016-09-01,New York,2090
7,Willowbrook,0,2016-08-01,New York,2097
8,Willowbrook,0,2016-07-01,New York,2100
9,Willowbrook,0,2016-06-01,New York,2087
10,Willowbrook,0,2016-05-01,New York,2084
11,Willowbrook,0,2016-04-01,New York,2097
12,Willowbrook,0,2016-03-01,New York,2132
13,Willowbrook,0,2016-02-01,New York,2140
14,Willowbrook,0,2016-01-01,New York,2152
79,Neponsit,0,2016-12-01,New York,2388
80,Neponsit,0,2016-11-01,New York,2406
81,Neponsit,0,2016-10-01,New York,2397
82,Neponsit,0,2016-09-01,New York,2384
83,Neponsit,0,2016-08-01,New York,2366
84,Neponsit,0,2016-07-01,New York,2344
85,Neponsit,0,2016-06-01,New York,2322
86,Neponsit,0,2016-05-01,New York,2310
87,Neponsit,0,2016-04-01,New York,2302
88,Neponsit,0,2016-03-01,New York,2310
89,Neponsit,0,2016-02-01,New York,2321
90,Neponsit,0,2016-01-01,New York,2326
155,Chelsea-Travis,0,2016-12-01,New York,2177
156,Chelsea-Travis,0,2016-11-01,New York,2162
157,Chelsea-Travis,0,2016-10-01,New York,2148
158,Chelsea-Travis,0,2016-09-01,New York,2146
159,Chelsea-Travis,0,2016-08-01,New York,2140
160,Chelsea-Travis,0,2016-07-01,New York,2121
161,Chelsea-Travis,0,2016-06-01,New York,2092
162,Chelsea-Travis,0,2016-05-01,New York,2069
163,Chelsea-Travis,0,2016-04-01,New York,2068
164,Chelsea-Travis,0,2016-03-01,New York,2084
165,Chelsea-Travis,0,2016-02-01,New York,2088
166,Chelsea-Travis,0,2016-01-01,New York,2089
231,Lighthouse Hill,0,2016-12-01,New York,2715
232,Lighthouse Hill,0,2016-11-01,New York,2719
233,Lighthouse Hill,0,2016-10-01,New York,2753
234,Lighthouse Hill,0,2016-09-01,New York,2784
235,Lighthouse Hill,0,2016-08-01,New York,2822
236,Lighthouse Hill,0,2016-07-01,New York,2849
237,Lighthouse Hill,0,2016-06-01,New York,2855
238,Lighthouse Hill,0,2016-05-01,New York,2855
239,Lighthouse Hill,0,2016-04-01,New York,2862
240,Lighthouse Hill,0,2016-03-01,New York,2885
241,Lighthouse Hill,0,2016-02-01,New York,2879
242,Lighthouse Hill,0,2016-01-01,New York,2873
307,Malba,0,2016-12-01,New York,2523
308,Malba,0,2016-11-01,New York,2501
309,Malba,0,2016-10-01,New York,2469
310,Malba,0,2016-09-01,New York,2460
311,Malba,0,2016-08-01,New York,2456
312,Malba,0,2016-07-01,New York,2461
313,Malba,0,2016-06-01,New York,2462
314,Malba,0,2016-05-01,New York,2458
315,Malba,0,2016-04-01,New York,2454
316,Malba,0,2016-03-01,New York,2434
317,Malba,0,2016-02-01,New York,2405
318,Malba,0,2016-01-01,New York,2404
383,Broad Channel,0,2016-12-01,New York,2183
384,Broad Channel,0,2016-11-01,New York,2170
385,Broad Channel,0,2016-10-01,New York,2151
386,Broad Channel,0,2016-09-01,New York,2137
387,Broad Channel,0,2016-08-01,New York,2113
388,Broad Channel,0,2016-07-01,New York,2092
389,Broad Channel,0,2016-06-01,New York,2070
390,Broad Channel,0,2016-05-01,New York,2074
391,Broad Channel,0,2016-04-01,New York,2074
392,Broad Channel,0,2016-03-01,New York,2077
393,Broad Channel,0,2016-02-01,New York,2060
394,Broad Channel,0,2016-01-01,New York,2048
459,Utopia,8,2016-12-01,New York,2825
460,Utopia,8,2016-11-01,New York,2756
461,Utopia,8,2016-10-01,New York,2684
462,Utopia,8,2016-09-01,New York,2637
463,Utopia,8,2016-08-01,New York,2595
464,Utopia,7,2016-07-01,New York,2545
465,Utopia,7,2016-06-01,New York,2494
466,Utopia,7,2016-05-01,New York,2461
467,Utopia,7,2016-04-01,New York,2452
468,Utopia,7,2016-03-01,New York,2453
469,Utopia,7,2016-02-01,New York,2431
470,Utopia,7,2016-01-01,New York,2448
535,DUMBO,30,2016-12-01,New York,3584
536,DUMBO,30,2016-11-01,New York,3586
537,DUMBO,30,2016-10-01,New York,3603
538,DUMBO,30,2016-09-01,New York,3616
539,DUMBO,29,2016-08-01,New York,3640
540,DUMBO,28,2016-07-01,New York,3660
