"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Columbia Gardens",0,2016-05-01,"Oakland",767
"2","Columbia Gardens",0,2016-04-01,"Oakland",729
"3","Columbia Gardens",0,2016-03-01,"Oakland",703
"4","Columbia Gardens",0,2016-02-01,"Oakland",674
"5","Columbia Gardens",0,2016-01-01,"Oakland",662
"6","Columbia Gardens",0,2015-12-01,"Oakland",641
"7","Columbia Gardens",0,2015-11-01,"Oakland",617
"8","Columbia Gardens",0,2015-10-01,"Oakland",577
"9","Columbia Gardens",0,2015-09-01,"Oakland",518
"10","Columbia Gardens",0,2015-08-01,"Oakland",465
"11","Columbia Gardens",0,2015-07-01,"Oakland",436
"12","Columbia Gardens",0,2015-06-01,"Oakland",432
"13","Columbia Gardens",0,2015-05-01,"Oakland",421
"14","Columbia Gardens",0,2015-04-01,"Oakland",410
"15","Columbia Gardens",0,2015-03-01,"Oakland",395
"16","Columbia Gardens",0,2015-02-01,"Oakland",389
"17","Columbia Gardens",0,2015-01-01,"Oakland",376
"18","Columbia Gardens",0,2014-12-01,"Oakland",357
"19","Columbia Gardens",0,2014-11-01,"Oakland",337
"20","Columbia Gardens",0,2014-10-01,"Oakland",330
"21","Columbia Gardens",0,2014-09-01,"Oakland",327
"22","Columbia Gardens",0,2014-08-01,"Oakland",308
"23","Columbia Gardens",0,2014-07-01,"Oakland",293
"24","Columbia Gardens",0,2014-06-01,"Oakland",276
"25","Columbia Gardens",0,2014-05-01,"Oakland",274
"26","Columbia Gardens",0,2014-04-01,"Oakland",273
"27","Columbia Gardens",0,2014-03-01,"Oakland",266
"28","Columbia Gardens",0,2014-02-01,"Oakland",246
"29","Columbia Gardens",0,2014-01-01,"Oakland",226
"30","Columbia Gardens",0,2013-12-01,"Oakland",217
"31","Columbia Gardens",0,2013-11-01,"Oakland",200
"32","Columbia Gardens",0,2013-10-01,"Oakland",179
"33","Columbia Gardens",0,2013-09-01,"Oakland",161
"34","Columbia Gardens",0,2013-08-01,"Oakland",155
"35","Columbia Gardens",0,2013-07-01,"Oakland",163
"36","Columbia Gardens",0,2013-06-01,"Oakland",174
"37","Columbia Gardens",0,2013-05-01,"Oakland",189
"38","Columbia Gardens",0,2013-04-01,"Oakland",200
"39","Columbia Gardens",0,2013-03-01,"Oakland",193
"40","Columbia Gardens",0,2013-02-01,"Oakland",173
"41","Columbia Gardens",0,2013-01-01,"Oakland",148
"42","Columbia Gardens",0,2012-12-01,"Oakland",140
"43","Columbia Gardens",0,2012-11-01,"Oakland",139
"44","Columbia Gardens",0,2012-10-01,"Oakland",158
"45","Columbia Gardens",0,2012-09-01,"Oakland",187
"46","Columbia Gardens",0,2012-08-01,"Oakland",207
"47","Columbia Gardens",0,2012-07-01,"Oakland",212
"48","Columbia Gardens",0,2012-06-01,"Oakland",197
"49","Columbia Gardens",0,2012-05-01,"Oakland",183
"50","Columbia Gardens",0,2012-04-01,"Oakland",172
"51","Columbia Gardens",0,2012-03-01,"Oakland",170
"52","Columbia Gardens",0,2012-02-01,"Oakland",169
"53","Columbia Gardens",0,2012-01-01,"Oakland",181
"54","Columbia Gardens",0,2011-12-01,"Oakland",187
"55","Columbia Gardens",0,2011-11-01,"Oakland",187
"56","Columbia Gardens",0,2011-10-01,"Oakland",179
"57","Columbia Gardens",0,2011-09-01,"Oakland",174
"58","Columbia Gardens",0,2011-08-01,"Oakland",174
"59","Columbia Gardens",0,2011-07-01,"Oakland",158
"60","Columbia Gardens",0,2011-06-01,"Oakland",142
"61","Columbia Gardens",0,2011-05-01,"Oakland",115
"62","Columbia Gardens",0,2011-04-01,"Oakland",89
"63","Columbia Gardens",0,2011-03-01,"Oakland",68
"64","Columbia Gardens",0,2011-02-01,"Oakland",39
"65","Columbia Gardens",0,2011-01-01,"Oakland",29
"66","Columbia Gardens",0,2010-12-01,"Oakland",17
"67","Columbia Gardens",0,2010-11-01,"Oakland",14
"68","Crestmont",1,2016-05-01,"Oakland",1698
"69","Crestmont",1,2016-04-01,"Oakland",1683
"70","Crestmont",1,2016-03-01,"Oakland",1667
"71","Crestmont",1,2016-02-01,"Oakland",1661
"72","Crestmont",0,2016-01-01,"Oakland",1655
"73","Crestmont",0,2015-12-01,"Oakland",1631
"74","Crestmont",0,2015-11-01,"Oakland",1603
"75","Crestmont",0,2015-10-01,"Oakland",1562
"76","Crestmont",0,2015-09-01,"Oakland",1552
"77","Crestmont",0,2015-08-01,"Oakland",1542
"78","Crestmont",0,2015-07-01,"Oakland",1523
"79","Crestmont",0,2015-06-01,"Oakland",1487
"80","Crestmont",0,2015-05-01,"Oakland",1458
"81","Crestmont",0,2015-04-01,"Oakland",1458
"82","Crestmont",0,2015-03-01,"Oakland",1472
"83","Crestmont",0,2015-02-01,"Oakland",1492
"84","Crestmont",0,2015-01-01,"Oakland",1492
"85","Crestmont",0,2014-12-01,"Oakland",1479
"86","Crestmont",0,2014-11-01,"Oakland",1443
"87","Crestmont",0,2014-10-01,"Oakland",1390
"88","Crestmont",0,2014-09-01,"Oakland",1334
"89","Crestmont",0,2014-08-01,"Oakland",1287
"90","Crestmont",0,2014-07-01,"Oakland",1263
"91","Crestmont",0,2014-06-01,"Oakland",1257
"92","Crestmont",0,2014-05-01,"Oakland",1261
"93","Crestmont",0,2014-04-01,"Oakland",1225
"94","Crestmont",0,2014-03-01,"Oakland",1172
"95","Crestmont",0,2014-02-01,"Oakland",1104
"96","Crestmont",0,2014-01-01,"Oakland",1049
"97","Crestmont",0,2013-12-01,"Oakland",1014
"98","Crestmont",0,2013-11-01,"Oakland",994
"99","Crestmont",0,2013-10-01,"Oakland",985
"100","Crestmont",0,2013-09-01,"Oakland",975
"101","Crestmont",0,2013-08-01,"Oakland",997
"102","Crestmont",0,2013-07-01,"Oakland",1025
"103","Crestmont",0,2013-06-01,"Oakland",1058
"104","Crestmont",0,2013-05-01,"Oakland",1065
"105","Crestmont",0,2013-04-01,"Oakland",1082
"106","Crestmont",0,2013-03-01,"Oakland",1093
"107","Crestmont",0,2013-02-01,"Oakland",1107
"108","Crestmont",0,2013-01-01,"Oakland",1109
"109","Crestmont",0,2012-12-01,"Oakland",1120
"110","Crestmont",0,2012-11-01,"Oakland",1143
"111","Crestmont",0,2012-10-01,"Oakland",1155
"112","Crestmont",0,2012-09-01,"Oakland",1152
"113","Crestmont",0,2012-08-01,"Oakland",1116
"114","Crestmont",0,2012-07-01,"Oakland",1068
"115","Crestmont",0,2012-06-01,"Oakland",1038
"116","Crestmont",0,2012-05-01,"Oakland",1019
"117","Crestmont",0,2012-04-01,"Oakland",1008
"118","Crestmont",0,2012-03-01,"Oakland",1000
"119","Crestmont",0,2012-02-01,"Oakland",1010
"120","Crestmont",0,2012-01-01,"Oakland",1025
"121","Crestmont",0,2011-12-01,"Oakland",1033
"122","Crestmont",0,2011-11-01,"Oakland",1034
"123","Crestmont",0,2011-10-01,"Oakland",1020
"124","Crestmont",0,2011-09-01,"Oakland",1027
"125","Crestmont",0,2011-08-01,"Oakland",1038
"126","Crestmont",0,2011-07-01,"Oakland",1044
"127","Crestmont",0,2011-06-01,"Oakland",1046
"128","Crestmont",0,2011-05-01,"Oakland",1027
"129","Crestmont",0,2011-04-01,"Oakland",1000
"130","Crestmont",0,2011-03-01,"Oakland",964
"131","Crestmont",0,2011-02-01,"Oakland",927
"132","Crestmont",0,2011-01-01,"Oakland",896
"133","Crestmont",0,2010-12-01,"Oakland",866
"134","Crestmont",0,2010-11-01,"Oakland",851
"135","Skyline - Hillcrest Estates",0,2016-05-01,"Oakland",1795
"136","Skyline - Hillcrest Estates",0,2016-04-01,"Oakland",1797
"137","Skyline - Hillcrest Estates",0,2016-03-01,"Oakland",1787
"138","Skyline - Hillcrest Estates",0,2016-02-01,"Oakland",1785
"139","Skyline - Hillcrest Estates",0,2016-01-01,"Oakland",1768
"140","Skyline - Hillcrest Estates",0,2015-12-01,"Oakland",1757
"141","Skyline - Hillcrest Estates",0,2015-11-01,"Oakland",1739
"142","Skyline - Hillcrest Estates",0,2015-10-01,"Oakland",1711
"143","Skyline - Hillcrest Estates",0,2015-09-01,"Oakland",1686
"144","Skyline - Hillcrest Estates",0,2015-08-01,"Oakland",1659
"145","Skyline - Hillcrest Estates",0,2015-07-01,"Oakland",1628
"146","Skyline - Hillcrest Estates",0,2015-06-01,"Oakland",1587
"147","Skyline - Hillcrest Estates",0,2015-05-01,"Oakland",1554
"148","Skyline - Hillcrest Estates",0,2015-04-01,"Oakland",1541
"149","Skyline - Hillcrest Estates",0,2015-03-01,"Oakland",1543
"150","Skyline - Hillcrest Estates",0,2015-02-01,"Oakland",1560
"151","Skyline - Hillcrest Estates",0,2015-01-01,"Oakland",1566
"152","Skyline - Hillcrest Estates",0,2014-12-01,"Oakland",1554
"153","Skyline - Hillcrest Estates",0,2014-11-01,"Oakland",1534
"154","Skyline - Hillcrest Estates",0,2014-10-01,"Oakland",1508
"155","Skyline - Hillcrest Estates",0,2014-09-01,"Oakland",1485
"156","Skyline - Hillcrest Estates",0,2014-08-01,"Oakland",1456
"157","Skyline - Hillcrest Estates",0,2014-07-01,"Oakland",1430
"158","Skyline - Hillcrest Estates",0,2014-06-01,"Oakland",1415
"159","Skyline - Hillcrest Estates",0,2014-05-01,"Oakland",1415
"160","Skyline - Hillcrest Estates",0,2014-04-01,"Oakland",1403
"161","Skyline - Hillcrest Estates",0,2014-03-01,"Oakland",1388
"162","Skyline - Hillcrest Estates",0,2014-02-01,"Oakland",1362
"163","Skyline - Hillcrest Estates",0,2014-01-01,"Oakland",1317
"164","Skyline - Hillcrest Estates",0,2013-12-01,"Oakland",1288
"165","Skyline - Hillcrest Estates",0,2013-11-01,"Oakland",1255
"166","Skyline - Hillcrest Estates",0,2013-10-01,"Oakland",1223
"167","Skyline - Hillcrest Estates",0,2013-09-01,"Oakland",1181
"168","Skyline - Hillcrest Estates",0,2013-08-01,"Oakland",1174
"169","Skyline - Hillcrest Estates",0,2013-07-01,"Oakland",1196
"170","Skyline - Hillcrest Estates",0,2013-06-01,"Oakland",1226
"171","Skyline - Hillcrest Estates",0,2013-05-01,"Oakland",1231
"172","Skyline - Hillcrest Estates",0,2013-04-01,"Oakland",1210
"173","Skyline - Hillcrest Estates",0,2013-03-01,"Oakland",1184
"174","Skyline - Hillcrest Estates",0,2013-02-01,"Oakland",1180
"175","Skyline - Hillcrest Estates",0,2013-01-01,"Oakland",1200
"176","Skyline - Hillcrest Estates",0,2012-12-01,"Oakland",1222
"177","Skyline - Hillcrest Estates",0,2012-11-01,"Oakland",1245
"178","Skyline - Hillcrest Estates",0,2012-10-01,"Oakland",1241
