"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Sylvan Highlands",0,2016-07-01,"Portland",1424
"2","Sylvan Highlands",0,2016-06-01,"Portland",1432
"3","Sylvan Highlands",0,2016-05-01,"Portland",1428
"4","Sylvan Highlands",0,2016-04-01,"Portland",1427
"5","Sylvan Highlands",0,2016-03-01,"Portland",1426
"6","Sylvan Highlands",0,2016-02-01,"Portland",1429
"7","Sylvan Highlands",0,2016-01-01,"Portland",1420
"8","Sylvan Highlands",0,2015-12-01,"Portland",1397
"9","Sylvan Highlands",0,2015-11-01,"Portland",1386
"10","Sylvan Highlands",0,2015-10-01,"Portland",1379
"11","Sylvan Highlands",0,2015-09-01,"Portland",1374
"12","Sylvan Highlands",0,2015-08-01,"Portland",1369
"13","Sylvan Highlands",0,2015-07-01,"Portland",1365
"14","Sylvan Highlands",0,2015-06-01,"Portland",1359
"15","Sylvan Highlands",0,2015-05-01,"Portland",1345
"16","Sylvan Highlands",0,2015-04-01,"Portland",1321
"17","Sylvan Highlands",0,2015-03-01,"Portland",1292
"18","Sylvan Highlands",0,2015-02-01,"Portland",1276
"19","Sylvan Highlands",0,2015-01-01,"Portland",1262
"20","Sylvan Highlands",0,2014-12-01,"Portland",1254
"21","Sylvan Highlands",0,2014-11-01,"Portland",1237
"22","Sylvan Highlands",0,2014-10-01,"Portland",1229
"23","Sylvan Highlands",0,2014-09-01,"Portland",1221
"24","Sylvan Highlands",0,2014-08-01,"Portland",1228
"25","Sylvan Highlands",0,2014-07-01,"Portland",1223
"26","Sylvan Highlands",0,2014-06-01,"Portland",1226
"27","Sylvan Highlands",0,2014-05-01,"Portland",1235
"28","Sylvan Highlands",0,2014-04-01,"Portland",1263
"29","Sylvan Highlands",0,2014-03-01,"Portland",1276
"30","Sylvan Highlands",0,2014-02-01,"Portland",1280
"31","Sylvan Highlands",0,2014-01-01,"Portland",1268
"32","Sylvan Highlands",0,2013-12-01,"Portland",1261
"33","Sylvan Highlands",0,2013-11-01,"Portland",1231
"34","Sylvan Highlands",0,2013-10-01,"Portland",1194
"35","Sylvan Highlands",0,2013-09-01,"Portland",1145
"36","Sylvan Highlands",0,2013-08-01,"Portland",1077
"37","Sylvan Highlands",0,2013-07-01,"Portland",1032
"38","Sylvan Highlands",0,2013-06-01,"Portland",996
"39","Sylvan Highlands",0,2013-05-01,"Portland",991
"40","Sylvan Highlands",0,2013-04-01,"Portland",976
"41","Sylvan Highlands",0,2013-03-01,"Portland",968
"42","Sylvan Highlands",0,2013-02-01,"Portland",960
"43","Sylvan Highlands",0,2013-01-01,"Portland",946
"44","Sylvan Highlands",0,2012-12-01,"Portland",937
"45","Sylvan Highlands",0,2012-11-01,"Portland",938
"46","Sylvan Highlands",0,2012-10-01,"Portland",969
"47","Sylvan Highlands",0,2012-09-01,"Portland",976
"48","Sylvan Highlands",0,2012-08-01,"Portland",982
"49","Sylvan Highlands",0,2012-07-01,"Portland",957
"50","Sylvan Highlands",0,2012-06-01,"Portland",938
"51","Sylvan Highlands",0,2012-05-01,"Portland",913
"52","Sylvan Highlands",0,2012-04-01,"Portland",912
"53","Sylvan Highlands",0,2012-03-01,"Portland",920
"54","Sylvan Highlands",0,2012-02-01,"Portland",928
"55","Sylvan Highlands",0,2012-01-01,"Portland",930
"56","Sylvan Highlands",0,2011-12-01,"Portland",901
"57","Sylvan Highlands",0,2011-11-01,"Portland",887
"58","Sylvan Highlands",0,2011-10-01,"Portland",876
"59","Sylvan Highlands",0,2011-09-01,"Portland",900
"60","Sylvan Highlands",0,2011-08-01,"Portland",921
"61","Sylvan Highlands",0,2011-07-01,"Portland",958
"62","Sylvan Highlands",0,2011-06-01,"Portland",966
"63","Sylvan Highlands",0,2011-05-01,"Portland",961
"64","Sylvan Highlands",0,2011-04-01,"Portland",938
"65","Sylvan Highlands",0,2011-03-01,"Portland",918
"66","Sylvan Highlands",0,2011-02-01,"Portland",880
"67","Sylvan Highlands",0,2011-01-01,"Portland",862
"68","Sylvan Highlands",0,2010-12-01,"Portland",873
"69","Sylvan Highlands",0,2010-11-01,"Portland",909
"70","Hayden Island",5,2016-07-01,"Portland",565
"71","Hayden Island",5,2016-06-01,"Portland",574
"72","Hayden Island",5,2016-05-01,"Portland",579
"73","Hayden Island",5,2016-04-01,"Portland",578
"74","Hayden Island",5,2016-03-01,"Portland",557
"75","Hayden Island",5,2016-02-01,"Portland",533
"76","Hayden Island",5,2016-01-01,"Portland",494
"77","Hayden Island",5,2015-12-01,"Portland",467
"78","Hayden Island",5,2015-11-01,"Portland",442
"79","Hayden Island",5,2015-10-01,"Portland",431
"80","Hayden Island",5,2015-09-01,"Portland",415
"81","Hayden Island",5,2015-08-01,"Portland",402
"82","Hayden Island",5,2015-07-01,"Portland",383
"83","Hayden Island",5,2015-06-01,"Portland",368
"84","Hayden Island",5,2015-05-01,"Portland",354
"85","Hayden Island",5,2015-04-01,"Portland",348
"86","Hayden Island",5,2015-03-01,"Portland",348
"87","Hayden Island",5,2015-02-01,"Portland",349
"88","Hayden Island",5,2015-01-01,"Portland",350
"89","Hayden Island",5,2014-12-01,"Portland",346
"90","Hayden Island",5,2014-11-01,"Portland",337
"91","Hayden Island",5,2014-10-01,"Portland",321
"92","Hayden Island",5,2014-09-01,"Portland",292
"93","Hayden Island",5,2014-08-01,"Portland",251
"94","Hayden Island",5,2014-07-01,"Portland",225
"95","Hayden Island",5,2014-06-01,"Portland",213
"96","Hayden Island",5,2014-05-01,"Portland",217
"97","Hayden Island",5,2014-04-01,"Portland",215
"98","Hayden Island",5,2014-03-01,"Portland",215
"99","Hayden Island",5,2014-02-01,"Portland",210
"100","Hayden Island",5,2014-01-01,"Portland",214
"101","Hayden Island",5,2013-12-01,"Portland",221
"102","Hayden Island",5,2013-11-01,"Portland",225
"103","Hayden Island",5,2013-10-01,"Portland",229
"104","Hayden Island",5,2013-09-01,"Portland",233
"105","Hayden Island",5,2013-08-01,"Portland",248
"106","Hayden Island",5,2013-07-01,"Portland",263
"107","Hayden Island",5,2013-06-01,"Portland",264
"108","Hayden Island",5,2013-05-01,"Portland",251
"109","Hayden Island",5,2013-04-01,"Portland",229
"110","Hayden Island",5,2013-03-01,"Portland",212
"111","Hayden Island",5,2013-02-01,"Portland",198
"112","Hayden Island",5,2013-01-01,"Portland",196
"113","Hayden Island",5,2012-12-01,"Portland",190
"114","Hayden Island",5,2012-11-01,"Portland",188
"115","Hayden Island",5,2012-10-01,"Portland",191
"116","Hayden Island",5,2012-09-01,"Portland",191
"117","Hayden Island",5,2012-08-01,"Portland",186
"118","Hayden Island",5,2012-07-01,"Portland",176
"119","Hayden Island",5,2012-06-01,"Portland",163
"120","Hayden Island",5,2012-05-01,"Portland",149
"121","Hayden Island",5,2012-04-01,"Portland",143
"122","Hayden Island",5,2012-03-01,"Portland",140
"123","Hayden Island",5,2012-02-01,"Portland",137
"124","Hayden Island",5,2012-01-01,"Portland",131
"125","Hayden Island",5,2011-12-01,"Portland",127
"126","Hayden Island",5,2011-11-01,"Portland",125
"127","Hayden Island",5,2011-10-01,"Portland",127
"128","Hayden Island",5,2011-09-01,"Portland",123
"129","Hayden Island",5,2011-08-01,"Portland",119
"130","Hayden Island",5,2011-07-01,"Portland",119
"131","Hayden Island",5,2011-06-01,"Portland",127
"132","Hayden Island",5,2011-05-01,"Portland",139
"133","Hayden Island",5,2011-04-01,"Portland",155
"134","Hayden Island",5,2011-03-01,"Portland",171
"135","Hayden Island",5,2011-02-01,"Portland",191
"136","Hayden Island",5,2011-01-01,"Portland",210
"137","Hayden Island",5,2010-12-01,"Portland",219
"138","Hayden Island",5,2010-11-01,"Portland",227
"139","Collins View",2,2016-07-01,"Portland",947
"140","Collins View",2,2016-06-01,"Portland",926
"141","Collins View",2,2016-05-01,"Portland",906
"142","Collins View",2,2016-04-01,"Portland",893
"143","Collins View",2,2016-03-01,"Portland",874
"144","Collins View",2,2016-02-01,"Portland",865
"145","Collins View",2,2016-01-01,"Portland",847
"146","Collins View",2,2015-12-01,"Portland",845
"147","Collins View",2,2015-11-01,"Portland",845
"148","Collins View",2,2015-10-01,"Portland",850
"149","Collins View",2,2015-09-01,"Portland",836
"150","Collins View",2,2015-08-01,"Portland",810
"151","Collins View",2,2015-07-01,"Portland",777
"152","Collins View",2,2015-06-01,"Portland",737
"153","Collins View",2,2015-05-01,"Portland",697
"154","Collins View",2,2015-04-01,"Portland",650
"155","Collins View",2,2015-03-01,"Portland",617
"156","Collins View",2,2015-02-01,"Portland",599
"157","Collins View",2,2015-01-01,"Portland",583
"158","Collins View",2,2014-12-01,"Portland",567
