"","Neighborhood","Airbnb","Date","City","ZRI"
"1","Gaslamp Quarter",0,2016-07-01,"San Diego",924
"2","Gaslamp Quarter",0,2016-06-01,"San Diego",917
"3","Gaslamp Quarter",0,2016-05-01,"San Diego",896
"4","Gaslamp Quarter",0,2016-04-01,"San Diego",884
"5","Gaslamp Quarter",0,2016-03-01,"San Diego",880
"6","Gaslamp Quarter",0,2016-02-01,"San Diego",881
"7","Gaslamp Quarter",0,2016-01-01,"San Diego",878
"8","Gaslamp Quarter",0,2015-12-01,"San Diego",885
"9","Gaslamp Quarter",0,2015-11-01,"San Diego",889
"10","Gaslamp Quarter",0,2015-10-01,"San Diego",885
"11","Gaslamp Quarter",0,2015-09-01,"San Diego",879
"12","Gaslamp Quarter",0,2015-08-01,"San Diego",862
"13","Gaslamp Quarter",0,2015-07-01,"San Diego",844
"14","Gaslamp Quarter",0,2015-06-01,"San Diego",847
"15","Gaslamp Quarter",0,2015-05-01,"San Diego",863
"16","Gaslamp Quarter",0,2015-04-01,"San Diego",880
"17","Gaslamp Quarter",0,2015-03-01,"San Diego",876
"18","Gaslamp Quarter",0,2015-02-01,"San Diego",872
"19","Gaslamp Quarter",0,2015-01-01,"San Diego",859
"20","Gaslamp Quarter",0,2014-12-01,"San Diego",837
"21","Gaslamp Quarter",0,2014-11-01,"San Diego",803
"22","Gaslamp Quarter",0,2014-10-01,"San Diego",773
"23","Gaslamp Quarter",0,2014-09-01,"San Diego",768
"24","Gaslamp Quarter",0,2014-08-01,"San Diego",763
"25","Gaslamp Quarter",0,2014-07-01,"San Diego",761
"26","Gaslamp Quarter",0,2014-06-01,"San Diego",761
"27","Gaslamp Quarter",0,2014-05-01,"San Diego",774
"28","Gaslamp Quarter",0,2014-04-01,"San Diego",780
"29","Gaslamp Quarter",0,2014-03-01,"San Diego",770
"30","Gaslamp Quarter",0,2014-02-01,"San Diego",731
"31","Gaslamp Quarter",0,2014-01-01,"San Diego",707
"32","Gaslamp Quarter",0,2013-12-01,"San Diego",696
"33","Gaslamp Quarter",0,2013-11-01,"San Diego",701
"34","Gaslamp Quarter",0,2013-10-01,"San Diego",692
"35","Gaslamp Quarter",0,2013-09-01,"San Diego",679
"36","Gaslamp Quarter",0,2013-08-01,"San Diego",678
"37","Gaslamp Quarter",0,2013-07-01,"San Diego",664
"38","Gaslamp Quarter",0,2013-06-01,"San Diego",648
"39","Gaslamp Quarter",0,2013-05-01,"San Diego",602
"40","Gaslamp Quarter",0,2013-04-01,"San Diego",565
"41","Gaslamp Quarter",0,2013-03-01,"San Diego",546
"42","Gaslamp Quarter",0,2013-02-01,"San Diego",549
"43","Gaslamp Quarter",0,2013-01-01,"San Diego",554
"44","Gaslamp Quarter",0,2012-12-01,"San Diego",566
"45","Gaslamp Quarter",0,2012-11-01,"San Diego",576
"46","Gaslamp Quarter",0,2012-10-01,"San Diego",566
"47","Gaslamp Quarter",0,2012-09-01,"San Diego",554
"48","Gaslamp Quarter",0,2012-08-01,"San Diego",533
"49","Gaslamp Quarter",0,2012-07-01,"San Diego",517
"50","Gaslamp Quarter",0,2012-06-01,"San Diego",501
"51","Gaslamp Quarter",0,2012-05-01,"San Diego",503
"52","Gaslamp Quarter",0,2012-04-01,"San Diego",506
"53","Gaslamp Quarter",0,2012-03-01,"San Diego",517
"54","Gaslamp Quarter",0,2012-02-01,"San Diego",522
"55","Gaslamp Quarter",0,2012-01-01,"San Diego",544
"56","Gaslamp Quarter",0,2011-12-01,"San Diego",563
"57","Gaslamp Quarter",0,2011-11-01,"San Diego",581
"58","Gaslamp Quarter",0,2011-10-01,"San Diego",573
"59","Gaslamp Quarter",0,2011-09-01,"San Diego",587
"60","Gaslamp Quarter",0,2011-08-01,"San Diego",600
"61","Gaslamp Quarter",0,2011-07-01,"San Diego",616
"62","Gaslamp Quarter",0,2011-06-01,"San Diego",620
"63","Gaslamp Quarter",0,2011-05-01,"San Diego",623
"64","Gaslamp Quarter",0,2011-04-01,"San Diego",617
"65","Gaslamp Quarter",0,2011-03-01,"San Diego",615
"66","Gaslamp Quarter",0,2011-02-01,"San Diego",607
"67","Gaslamp Quarter",0,2011-01-01,"San Diego",589
"68","Gaslamp Quarter",0,2010-12-01,"San Diego",556
"69","Gaslamp Quarter",0,2010-11-01,"San Diego",527
"70","Rancho Encantado",0,2016-07-01,"San Diego",2260
"71","Rancho Encantado",0,2016-06-01,"San Diego",2249
"72","Rancho Encantado",0,2016-05-01,"San Diego",2236
"73","Rancho Encantado",0,2016-04-01,"San Diego",2219
"74","Rancho Encantado",0,2016-03-01,"San Diego",2218
"75","Rancho Encantado",0,2016-02-01,"San Diego",2238
"76","Rancho Encantado",0,2016-01-01,"San Diego",2262
"77","Rancho Encantado",0,2015-12-01,"San Diego",2266
"78","Rancho Encantado",0,2015-11-01,"San Diego",2256
"79","Rancho Encantado",0,2015-10-01,"San Diego",2254
"80","Rancho Encantado",0,2015-09-01,"San Diego",2247
"81","Rancho Encantado",0,2015-08-01,"San Diego",2233
"82","Rancho Encantado",0,2015-07-01,"San Diego",2222
"83","Rancho Encantado",0,2015-06-01,"San Diego",2212
"84","Rancho Encantado",0,2015-05-01,"San Diego",2208
"85","Rancho Encantado",0,2015-04-01,"San Diego",2200
"86","Rancho Encantado",0,2015-03-01,"San Diego",2188
"87","Rancho Encantado",0,2015-02-01,"San Diego",2179
"88","Rancho Encantado",0,2015-01-01,"San Diego",2167
"89","Rancho Encantado",0,2014-12-01,"San Diego",2162
"90","Rancho Encantado",0,2014-11-01,"San Diego",2154
"91","Rancho Encantado",0,2014-10-01,"San Diego",2148
"92","Rancho Encantado",0,2014-09-01,"San Diego",2136
"93","Rancho Encantado",0,2014-08-01,"San Diego",2130
"94","Rancho Encantado",0,2014-07-01,"San Diego",2118
"95","Rancho Encantado",0,2014-06-01,"San Diego",2097
"96","Rancho Encantado",0,2014-05-01,"San Diego",2081
"97","Rancho Encantado",0,2014-04-01,"San Diego",2054
"98","Rancho Encantado",0,2014-03-01,"San Diego",2036
"99","Rancho Encantado",0,2014-02-01,"San Diego",2012
"100","Rancho Encantado",0,2014-01-01,"San Diego",2008
"101","Rancho Encantado",0,2013-12-01,"San Diego",2007
"102","Rancho Encantado",0,2013-11-01,"San Diego",2003
"103","Rancho Encantado",0,2013-10-01,"San Diego",1993
"104","Rancho Encantado",0,2013-09-01,"San Diego",1992
"105","Rancho Encantado",0,2013-08-01,"San Diego",1992
"106","Rancho Encantado",0,2013-07-01,"San Diego",1974
"107","Rancho Encantado",0,2013-06-01,"San Diego",1956
"108","Rancho Encantado",0,2013-05-01,"San Diego",1935
"109","Rancho Encantado",0,2013-04-01,"San Diego",1929
"110","Rancho Encantado",0,2013-03-01,"San Diego",1920
"111","Rancho Encantado",0,2013-02-01,"San Diego",1910
"112","Rancho Encantado",0,2013-01-01,"San Diego",1896
"113","Rancho Encantado",0,2012-12-01,"San Diego",1882
"114","Rancho Encantado",0,2012-11-01,"San Diego",1883
"115","Rancho Encantado",0,2012-10-01,"San Diego",1898
"116","Rancho Encantado",0,2012-09-01,"San Diego",1912
"117","Rancho Encantado",0,2012-08-01,"San Diego",1927
"118","Rancho Encantado",0,2012-07-01,"San Diego",1952
"119","Rancho Encantado",0,2012-06-01,"San Diego",1984
"120","Rancho Encantado",0,2012-05-01,"San Diego",2025
"121","Rancho Encantado",0,2012-04-01,"San Diego",2046
"122","Rancho Encantado",0,2012-03-01,"San Diego",2063
"123","Rancho Encantado",0,2012-02-01,"San Diego",2068
"124","Rancho Encantado",0,2012-01-01,"San Diego",2045
"125","Rancho Encantado",0,2011-12-01,"San Diego",2003
"126","Rancho Encantado",0,2011-11-01,"San Diego",1941
"127","Rancho Encantado",0,2011-10-01,"San Diego",1922
"128","Rancho Encantado",0,2011-09-01,"San Diego",1909
"129","Rancho Encantado",0,2011-08-01,"San Diego",1913
"130","Rancho Encantado",0,2011-07-01,"San Diego",1918
"131","Rancho Encantado",0,2011-06-01,"San Diego",1922
"132","Rancho Encantado",0,2011-05-01,"San Diego",1919
"133","Rancho Encantado",0,2011-04-01,"San Diego",1924
"134","Rancho Encantado",0,2011-03-01,"San Diego",1921
"135","Rancho Encantado",0,2011-02-01,"San Diego",1933
"136","Rancho Encantado",0,2011-01-01,"San Diego",1945
"137","Rancho Encantado",0,2010-12-01,"San Diego",1969
"138","Rancho Encantado",0,2010-11-01,"San Diego",1990
"139","Cortez Hill",0,2016-07-01,"San Diego",986
"140","Cortez Hill",0,2016-06-01,"San Diego",986
"141","Cortez Hill",0,2016-05-01,"San Diego",979
"142","Cortez Hill",0,2016-04-01,"San Diego",974
"143","Cortez Hill",0,2016-03-01,"San Diego",963
"144","Cortez Hill",0,2016-02-01,"San Diego",954
"145","Cortez Hill",0,2016-01-01,"San Diego",934
"146","Cortez Hill",0,2015-12-01,"San Diego",922
"147","Cortez Hill",0,2015-11-01,"San Diego",916
"148","Cortez Hill",0,2015-10-01,"San Diego",918
"149","Cortez Hill",0,2015-09-01,"San Diego",921
"150","Cortez Hill",0,2015-08-01,"San Diego",915
"151","Cortez Hill",0,2015-07-01,"San Diego",910
"152","Cortez Hill",0,2015-06-01,"San Diego",902
"153","Cortez Hill",0,2015-05-01,"San Diego",903
"154","Cortez Hill",0,2015-04-01,"San Diego",900
"155","Cortez Hill",0,2015-03-01,"San Diego",898
"156","Cortez Hill",0,2015-02-01,"San Diego",892
"157","Cortez Hill",0,2015-01-01,"San Diego",882
"158","Cortez Hill",0,2014-12-01,"San Diego",870
"159","Cortez Hill",0,2014-11-01,"San Diego",855
"160","Cortez Hill",0,2014-10-01,"San Diego",851
"161","Cortez Hill",0,2014-09-01,"San Diego",848
"162","Cortez Hill",0,2014-08-01,"San Diego",850
"163","Cortez Hill",0,2014-07-01,"San Diego",850
"164","Cortez Hill",0,2014-06-01,"San Diego",845
"165","Cortez Hill",0,2014-05-01,"San Diego",836
"166","Cortez Hill",0,2014-04-01,"San Diego",823
"167","Cortez Hill",0,2014-03-01,"San Diego",812
"168","Cortez Hill",0,2014-02-01,"San Diego",797
"169","Cortez Hill",0,2014-01-01,"San Diego",787
"170","Cortez Hill",0,2013-12-01,"San Diego",772
"171","Cortez Hill",0,2013-11-01,"San Diego",768
"172","Cortez Hill",0,2013-10-01,"San Diego",782
"173","Cortez Hill",0,2013-09-01,"San Diego",790
"174","Cortez Hill",0,2013-08-01,"San Diego",799
